"code","brands","product_name","product_name_en","product_name_fr","product_name_de","product_name_it","generic_name","generic_name_en","generic_name_fr","generic_name_it","generic_name_hr","quantity","product_quantity","product_quantity_unit","serving_quantity","serving_quantity_unit","energy_kcal_value","energy_kcal_basis","energy_kcal_unit","image_1","image_2"
"8422107000899","la gula del norte","Gulas con Gambas al Ajillo. Alminuto","","","","","","","","","","125 g","125","g","","","248","100g","kcal","{""es"": ""3""}","{}"
"8422107000936","angulas aguinaga","Gulas","","","","","","","","","","2 x 150 g","300","g","","","163","100g","kcal","{""es"": ""3""}","{}"
"8422107000943","Angulas Aguinaga","Angulas","","","","","","","","","","400 g","400","g","","","163","100g","kcal","{""es"": ""9""}","{}"
"8422107000950","La Gula del Norte","La auténtica individuales de","","La auténtica individuales de","","","","","","","","2 x 215 g","430","g","","","163","100g","kcal","{""fr"": ""4""}","{}"
"8422107000967","La gula del norte","LA GULA DEL NORTE","","","","","","","","","","","","","","","163","100g","kcal","{""es"": ""3""}","{}"
"8422107000974","gulas","Gulas","","","","","","","","","","","","","","","163","100g","kcal","{""es"": ""3""}","{}"
"8422107001025","Angulas aguinaga","La Gula del Norte","","","","","","","","","","2 x 90 g","180","g","","","163","100g","kcal","{""es"": ""10""}","{}"
"8422107001124","Krissia","Surimi sin gluten","","Barritas","","","","","","","","","","","","","92","100g","kcal","{""es"": ""15"", ""fr"": ""6""}","{}"
"8422107001162","","Moule marinière","","Moule marinière","","","","","","","","","","","","","","","","{}","{}"
"8422107001186","Aguinamar","Pintxo a la donostiarra","","","","","","","","","","","","","","","224","100g","kcal","{""es"": ""12""}","{}"
"8422107001193","Aguinamar","Pintxo de marisco","","","","","","","","","","","","","","","131","100g","kcal","{""es"": ""3""}","{}"
"8422107001216","","Barritas pescado","","","","","","","","","","","","","","","66","100g","kcal","{""es"": ""8""}","{}"
"8422107001247","aguinamar","Pintxo a la  Donostiarra","","","","","","","","","","130 g","130","g","","","224","100g","kcal","{""es"": ""3""}","{}"
"8422107001254","Krissia","Barritas Krissia 0 por ciento Ultracongeladas","","","","","","","","","","400 g","400.0","g","17.0","g","66","100g","kcal","{""es"": ""25"", ""fr"": ""4""}","{}"
"8422107001278","Angulas Aguinaga","Moules cuisinées au naturel","","Moules cuisinées au naturel","","","","","","","","","","","","","35","100g","kcal","{""fr"": ""20""}","{}"
"8422107001292","Krissia","Barritas Krissia","","","","","","","","","","660 g","660.0","g","17.0","g","92","100g","kcal","{""es"": ""11""}","{}"
"8422107001308","Royal,Angulas Aguinaga","Cocotte de moules recette marinière","","Cocotte de moules recette marinière","","","Moules entières cuisinées à la marinière","","Moules entières cuisinées à la marinière","","","500 g e","500.0","g","250.0","g","68","100g","kcal","{""fr"": ""83""}","{}"
"8422107001315","Angulas Aguinaga","Moules à la marinière","","Moules à la marinière","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"8422107001322","Angulas Aguinaga","Moules cuisinées à la provençale","","Moules cuisinées à la provençale","","","","","","","","600 g","600","g","","","77","100g","kcal","{""fr"": ""22""}","{}"
"8422107001339","Angulas Aguinaga","Moules cuisinées à la mariniere","","Moules cuisinées à la mariniere","","","","","","","","","","","","","68","100g","kcal","{""fr"": ""22""}","{}"
"8422107001346","Angulas Aguinaga","Moules cuisinées à la provençale","","Moules cuisinées à la provençale","","","","","","","","","","","","","77","100g","kcal","{""fr"": ""4""}","{}"
"8422107001353","Angulas Aguinaga","Anneaux À La Romaine","","Anneaux À La Romaine","","","","","","","","240 g","240","g","","","202","100g","kcal","{""fr"": ""26""}","{}"
"8422107001445","","Cozze alla marinara","","Cozze alla marinara","","","","","","","","","","","","","0","100g","kcal","{""fr"": ""6""}","{}"
"8422107001452","","","","","","","","","","","","","","","","","","","","{}","{}"
"8422107001469","Angulas Aguinaga","Cozze cotte al pomodoro","","Cozze cotte al pomodoro","","","","","","","","","","","","","51","100g","kcal","{""fr"": ""3""}","{}"
"8422107001506","Angulas Aguinaga","Cozze cotte al naturale bio","","","","Cozze cotte al naturale bio","","","","","","500 g","500","g","","","","","","{}","{""it"": ""4""}"
