"code","brands","product_name","product_name_en","product_name_fr","product_name_de","product_name_it","generic_name","generic_name_en","generic_name_fr","generic_name_it","generic_name_hr","quantity","product_quantity","product_quantity_unit","serving_quantity","serving_quantity_unit","energy_kcal_value","energy_kcal_basis","energy_kcal_unit","image_1","image_2"
"3123456789187","","Pois cassés","","Pois cassés","","","","","","","","","","","","","","","","{}","{}"
"3123458796053","","Smoothie","","Smoothie","","","","","","","","","","","","","199","100g","kcal","{""fr"": ""3""}","{}"
"3123470200040","","","","","","","","","","","","","","","","","","","","{""fr"": ""3""}","{}"
"3123487750064","","Comté","","Comté","","","","","","","","","","","","","410","100g","kcal","{""fr"": ""4""}","{}"
"3123622111262","Sunshine Snacks","Sun Mix Nutty Surprise","Sun Mix Nutty Surprise","","","","","","","","","","","","50","g","260","100g","kcal","{}","{}"
"3123685005775","","","","","","","","","","","","","","","","","","","","{}","{""fr"": ""4""}"
"3123712407497","Bio Village","vinaigre de cidre","","vinaigre de cidre","","","","","","","","","","","","","","","","{}","{}"
"3123734172168","Von der Alb","Chiliöl","","","Chiliöl","","","","","","","100ml","100","ml","","","900","100ml","kcal","{""de"": ""4""}","{}"
"3123734172175","Sollst Hof","Knoblauchöl","","","Knoblauchöl","","","","","","","250ml","250","ml","","","900","100ml","kcal","{""de"": ""3""}","{}"
"3123734172182","Von der Alb","Knoblauchöl","","","Knoblauchöl","","","","","","","100ml","100","ml","","","","","","{}","{""de"": ""3""}"
"3123734172205","Von der Alb","Thymianöl","","","Thymianöl","","","","","","","100ml","100","ml","","","900","100ml","kcal","{""de"": ""3""}","{}"
"3123734172229","Von der Alb","Hanfnüsse ungeschält","","","Hanfnüsse ungeschält","","","","","","","50g","50","g","","","","","","{}","{""de"": ""3""}"
"3123734172328","Von der Alb","Hanfnüsse","","","Hanfnüsse","","","","","","","1kg","1000","g","","","580","100g","kcal","{""de"": ""3""}","{}"
"3123734172465","Sölls Hof","Hanföl","","","Hanföl","","","","","","","500ml","500","ml","","","","","","{}","{}"
"3123734172502","Sölls Hof","Senföl","","","Senföl","","","","","","","500ml","500","ml","","","","","","{}","{}"
"3123734172526","","Chiasamen","","","Chiasamen","","","","","","","1kg","1000","g","","","485","100g","kcal","{""de"": ""3""}","{}"
"3123734172571","Sölls Hof","Süßer Senf","","","Süßer Senf","","","","","","","180ml","180","ml","","","","","","{}","{}"
"3123734172588","Sölls Hof","Dijon Senf","","","Dijon Senf","","","","","","","180ml","180","ml","","","","","","{}","{}"
"3123734192500","","Hanföl von der Alb","","","Hanföl von der Alb","","","","","","","","","","","","900","100g","kcal","{""de"": ""3""}","{}"
"3123734192517","Von der Alb","Hanföl","","","Hanföl","","","","","","","100ml","100","ml","","","900","100ml","kcal","{""de"": ""3""}","{}"
"3123734192661","","Quinoa","","","Quinoa","","","","","","","","","","","","","","","{}","{}"
"3123751850414","Cémoi","Mini-tablettes Chocolat","","Mini-tablettes Chocolat","","","","","","","","900 g","900","g","","","543","100g","kcal","{""fr"": ""4""}","{}"
"3123754406694","Festy Cemoi","Dragees","","Dragees","","","","","","","","","","","","","456","100g","kcal","{""fr"": ""4""}","{}"
"3123754702451","Cémoi","Pralines Pâtissières","","Pralines Pâtissières","","","","","","","","400 g","400","g","","","422.3","100g","kcal","{""fr"": ""5""}","{}"
"3123754721919","Cémoi","Perlage","","Perlage","","","","","","","","","","","","","397","100g","kcal","{""fr"": ""4""}","{}"
