"code","brands","product_name","product_name_en","product_name_fr","product_name_de","product_name_it","generic_name","generic_name_en","generic_name_fr","generic_name_it","generic_name_hr","quantity","product_quantity","product_quantity_unit","serving_quantity","serving_quantity_unit","energy_kcal_value","energy_kcal_basis","energy_kcal_unit","image_1","image_2"
"9556046700011","Daisy","Kaya","Kaya","","","","","","","","","","","","15","g","","","","{}","{}"
"9556046700035","","Daisy peanut butter","Daisy peanut butter","","","","","","","","","340g","340","g","","","","","","{""en"": ""3""}","{}"
"9556046700042","Daisy","Creamy peanut butter","Creamy peanut butter","","","","","","","","","500g","500","g","","","","","","{""en"": ""3""}","{}"
"9556046700066","Daisy","Crunchy peanut butter","Crunchy peanut butter","","","","","","","","","","","","32","g","","","","{""en"": ""3""}","{}"
"9556046700073","Daisy","Crunchy Peanut Butter","Crunchy Peanut Butter","","","","","","","","","","","","","","","","","{}","{}"
"9556046700103","","knife kicap soya cair","knife kicap soya cair","","","","","","","","","500ml","500","ml","","","","","","{""en"": ""3""}","{}"
"9556046700127","Knife Brand","knife kicap soya cair klasic","knife kicap soya cair klasic","","","","","","","","","500ml","500.0","ml","100.0","ml","174","100g","kcal","{""en"": ""3""}","{}"
"9556046700554","","knife kicap soya cair","knife kicap soya cair","","","","","","","","","50pml","0","","","","","","","{""en"": ""3""}","{}"
"9556046700561","","knife kicap karamel pekat","knife kicap karamel pekat","","","","","","","","","500ml","500","ml","","","","","","{""en"": ""3""}","{}"
"9556049000026","","volvic","volvic","","","","","","","","","","","","","","","","","{}","{}"
"9556049000040","","","","","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"9556049000057","","","","","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"9556049000064","","VOCHELLE ALMOND CHOCOLATE","VOCHELLE ALMOND CHOCOLATE","","","","","","","","","75g","75","","","","","","","{}","{""en"": ""4""}"
"9556049000088","","VOCHELLE DAIRY MILK CHOCOLATE","VOCHELLE DAIRY MILK CHOCOLATE","","","","","","","","","75g","75","","","","","","","{}","{""en"": ""3""}"
"9556049000101","","vochelle","vochelle","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"9556049000118","","Hazelnuts","","Hazelnuts","","","","","","","","","","","","","","","","{}","{""fr"": ""8""}"
