product_index,code,brands,name_candidates,product_quantity,product_quantity_unit,package_quantity,package_quantity_unit,serving_quantity,serving_quantity_unit,nutrition_basis_unit,nutrition,image_1,image_2
1309286,2000000900896,,"[""Pain oriental""]",,,,,,,,,{},"{""fr"": ""3""}"
1309287,2000000900902,,"[""Pain Energus 10"", ""Pain aux céréales""]",400.0,g,400.0,g,,,g,"{""0"": 256.4, ""1"": 12.0, ""2"": 1.5, ""3"": 7.1, ""4"": 0.8, ""5"": 10.0, ""6"": 25.0, ""7"": 1.1, ""8"": 440000.0}","{""fr"": ""22""}",{}
1309288,2000000900919,,"[""Jus d'orange""]",,,,,,,,,{},"{""fr"": ""4""}"
1309289,2000000900926,,"[""Jus D'orange 100% pur jus""]",,,,,,,,,{},"{""fr"": ""3""}"
1309290,2000000900933,,"[""Lot de viennoiserie""]",,,,,,,,,{},"{""fr"": ""4""}"
1309291,2000000900964,,"[""Baguette tradition""]",,,,,,,,,{},"{""fr"": ""6""}"
1309292,2000000901015,,"[""PAIN CAMPAGNE  U""]",,,,,,,g,"{""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
1309293,2000000901022,,"[""Mini viennoiserie""]",,,,,,,g,"{""0"": 295.7, ""1"": 0.5, ""2"": 0.1, ""3"": 64.0, ""4"": 3.1, ""6"": 8.8, ""7"": 1.4, ""8"": 560000.0}","{""fr"": ""3""}",{}
1309294,2000000901046,,"[""Boule muesli""]",,,,,,,,,{},"{""fr"": ""3""}"
1309295,2000000901053,,"[""Pur  jus de pomme""]",,,,,,,g,"{""0"": 216.6, ""1"": 5.4, ""2"": 2.6, ""3"": 38.0, ""4"": 25.0, ""6"": 4.0, ""7"": 0.4, ""8"": 160000.0}","{""fr"": ""12""}",{}
1309296,2000000901084,U Bio,"[""Pain complet""]",350,g,350.0,g,,,g,"{""0"": 221.5, ""1"": 1.1, ""2"": 0.2, ""3"": 42.0, ""4"": 2.5, ""5"": 7.8, ""6"": 7.0, ""7"": 1.0, ""8"": 400000.0}","{""fr"": ""4""}",{}
1309297,2000000901091,,"[""Brioche""]",,,,,,,,,{},"{""fr"": ""3""}"
1309298,2000000901107,,"[""Flute""]",,,,,,,g,"{""0"": 279.5, ""1"": 1.1, ""2"": 0.7, ""3"": 59.0, ""4"": 1.2, ""6"": 8.4, ""7"": 1.4, ""8"": 560000.0}","{""fr"": ""4""}",{}
1309299,2000000901121,,"[""pain &quot;le basique&quot;""]",,,,,,,,,{},"{""fr"": ""8""}"
1309300,2000000901169,U,"[""Baguette L'excellente"", ""Baguette""]",300,g,300.0,g,,,,,"{""fr"": ""7""}",{}
1309301,2000000901183,,"[""Pain omega""]",,,,,,,g,"{""0"": 253.29999999999998, ""1"": 4.5, ""2"": 0.2, ""3"": 42.8, ""4"": 1.4, ""6"": 10.4, ""7"": 1.2, ""8"": 480000.0}","{""fr"": ""3""}",{}
1309302,2000000901206,,"[""Pain fitty""]",,,,,,,g,"{""0"": 254.2, ""1"": 5.0, ""2"": 0.8, ""3"": 40.4, ""4"": 3.7, ""6"": 11.9}","{""fr"": ""8""}",{}
1309303,2000000901213,,"[""Palets aux pépites de chocolat sans gluten""]",,,,,,,g,"{""0"": 483.8, ""1"": 21.0, ""2"": 9.3, ""3"": 69.0, ""4"": 27.0, ""6"": 4.7, ""7"": 0.25, ""8"": 100000.0}",{},{}
1309304,2000000901220,boucanage atelier service,"[""poulets boucanes sous vide""]",0,,,,,,,,{},"{""fr"": ""3""}"
1309305,2000000901237,,"[""Pain grillé""]",,,,,,,,,{},"{""fr"": ""3""}"
1309306,2000000901244,,"[""Pélardons de Pégairolles de l'Escalette""]",60,g,60.0,g,,,,,{},"{""fr"": ""4""}"
1309307,2000000901282,,"[""Miel de printemps""]",,,,,,,g,"{""0"": 329.2, ""1"": 0.0, ""2"": 0.0, ""3"": 82.0, ""4"": 82.0, ""6"": 0.3, ""7"": 0.004, ""8"": 1600.0}","{""fr"": ""4""}",{}
1309308,2000000901299,,"[""SCOFA""]",,,,,,,g,"{""0"": 454.8, ""1"": 28.0, ""2"": 14.0, ""3"": 43.0, ""4"": 39.0, ""6"": 7.7, ""7"": 0.32, ""8"": 128000.0}","{""fr"": ""4""}",{}
1309309,2000000901312,,"[""Romarin""]",,,,,,,,,{},"{""fr"": ""3""}"
1309310,2000000901350,,"[""Chaudron d'lait""]",,,,,,,,,{},"{""fr"": ""3""}"
1309311,2000000901374,Hyper U,"[""Pain Synergie 600g""]",,,,,,,,,{},"{""fr"": ""3""}"
1309312,2000000901398,Panzani,"[""Spaghetti""]",,,,,,,g,"{""0"": 354.0, ""1"": 2.0, ""2"": 0.35, ""3"": 72.0, ""4"": 3.7, ""6"": 12.0, ""7"": 0.01, ""8"": 4000.0}","{""fr"": ""4""}",{}
1309313,2000000901428,,"[""Penne au poulet sauce pesto""]",280,g,280.0,g,,,g,"{""0"": 172.5, ""1"": 6.1, ""2"": 1.2, ""3"": 20.0, ""4"": 1.4, ""6"": 9.4, ""7"": 0.83, ""8"": 332000.0}","{""fr"": ""3""}",{}
1309314,2000000901435,Rana,"[""giovanni rana""]",,,,,,,g,"{""0"": 296.4, ""1"": 7.6, ""2"": 3.1, ""3"": 44.0, ""4"": 5.1, ""6"": 13.0, ""7"": 1.9, ""8"": 760000.0}","{""fr"": ""6""}",{}
1309315,2000000901459,,"[""Tartelette framboise""]",,,,,,,,,{},"{""fr"": ""3""}"
1309316,2000000901480,,"[""Prefou ail""]",,,,,,,g,"{""0"": 391.4, ""1"": 27.0, ""2"": 18.0, ""3"": 32.0, ""4"": 1.0, ""5"": 0.0, ""6"": 5.1, ""7"": 1.5, ""8"": 600000.0}","{""fr"": ""30""}",{}
1309317,2000000901497,,"[""Brioche saint genix""]",,,,,,,,,"{""fr"": ""3""}",{}
1309318,2000000901503,,"[""Bein choc""]",,,,,,,g,"{""0"": 356.2, ""1"": 15.0, ""2"": 2.1, ""3"": 47.0, ""4"": 15.0, ""6"": 8.3, ""7"": 0.77, ""8"": 308000.0}","{""fr"": ""4""}",{}
1309319,2000000901510,,"[""Miel du Rucher du Ch'tiloup""]",,,,,,,,,"{""fr"": ""3""}",{}
1309320,2000000901527,,"[""Cookies""]",,,,,,,g,"{""0"": 468.0, ""1"": 26.0, ""2"": 16.5, ""3"": 52.2, ""4"": 34.7, ""6"": 6.3, ""7"": 0.1, ""8"": 40000.0}","{""fr"": ""13""}",{}
1309321,2000000901534,,"[""Mini donuts""]",,,,,,,,,{},"{""fr"": ""3""}"
1309322,2000000901565,Danone,"[""Pain dejeunette""]",,,,,,,g,"{""0"": 45.699999999999996, ""1"": 0.1, ""2"": 0.05, ""3"": 6.7, ""4"": 6.5, ""6"": 4.5, ""7"": 0.18, ""8"": 72000.0}","{""fr"": ""7""}",{}
1309323,2000000901572,,"[""Jus d'automne""]",,,,,,,g,"{""0"": 49.8, ""1"": 0.2, ""2"": 0.0, ""3"": 11.7, ""4"": 11.7, ""6"": 0.3, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""15""}",{}
1309324,2000000901596,,"[""Quatre Quart""]",,,,,,,g,"{""0"": 449.3, ""1"": 26.1, ""2"": 14.0, ""3"": 46.9, ""4"": 34.4, ""6"": 6.7, ""7"": 0.44, ""8"": 176000.0}","{""fr"": ""3""}",{}
1309325,2000000901602,,"[""Crêpes fraîches maison x 6""]",300,g,300.0,g,,,,,"{""fr"": ""4""}",{}
1309326,2000000901619,,"[""Crêpes""]",,,,,,,,,"{""fr"": ""4""}",{}
1309327,2000000901626,Entre Vosges et Forêt Noire,"[""Miel de fleurs crémeux""]",,,,,,,,,{},"{""fr"": ""3""}"
1309328,2000000901633,,"[""Yaourt fermier""]",,,,,,,g,"{""0"": 65.63, ""1"": 3.91, ""2"": 2.4, ""3"": 4.45, ""4"": 2.48, ""6"": 3.16, ""7"": 0.16, ""8"": 64000.0}","{""fr"": ""6""}",{}
1309329,2000000901640,,"[""miel D ALESIA""]",,,,,,,,,{},"{""fr"": ""3""}"
1309330,2000000901664,,"[""Pastel de nata""]",,,,,,,,,{},"{""fr"": ""4""}"
1309331,2000000901688,,"[""Pain pavé amande noisette""]",,,,,,,,,{},"{""fr"": ""3""}"
1309332,2000000901701,,"[""Pain grille""]",,,,,,,,,{},"{""fr"": ""3""}"
1309333,2000000901718,,"[""Baguette farinée""]",,,,,,,,,{},"{""fr"": ""3""}"
1309334,2000000901725,,"[""Pain farine""]",400,g,400.0,g,,,,,{},"{""fr"": ""4""}"
1309335,2000000901756,,"[""Chips ondulées""]",,,,,,,g,"{""0"": 160.2, ""1"": 10.2, ""2"": 1.1, ""3"": 15.3, ""4"": 0.2, ""6"": 1.8, ""7"": 0.33, ""8"": 132000.0}","{""fr"": ""4""}",{}
1309336,2000000901763,,"[""Crêpes""]",,,,,,,,,{},"{""fr"": ""3""}"
1309337,2000000901794,,"[""Brioche tressee""]",,,,,,,,,{},"{""fr"": ""4""}"
1309338,2000000901800,,"[""Pain au chocolat""]",,,,,,,,,{},"{""fr"": ""3""}"
1309339,2000000901817,,"[""Chausson chocolat noisette""]",,,,,,,,,{},"{""fr"": ""4""}"
1309340,2000000901824,,"[""Kouign-Amann""]",250,g,250.0,g,,,g,"{""0"": 266.0, ""1"": 14.0, ""2"": 9.8, ""3"": 32.0, ""4"": 12.0, ""6"": 3.0, ""7"": 0.48, ""8"": 192000.0}","{""fr"": ""3""}",{}
1309341,2000000901831,,"[""Risotto de crevette""]",,,,,,,,,{},"{""fr"": ""3""}"
1309342,2000000901855,,"[""Miel de corse""]",,,,,,,,,"{""fr"": ""3""}",{}
1309343,2000000901862,,"[""Crêpe""]",,,,,,,,,{},"{""fr"": ""3""}"
1309344,2000000901916,,"[""Canistrelli noisettes""]",,,,,,,,,{},"{""fr"": ""4""}"
1309345,2000000901961,,"[""Pouet fermier epicé""]",,,,,,,,,{},"{""fr"": ""4""}"
1309346,2000000901992,,"[""Jus d'orange  100% put jus""]",,,,,,,,,{},"{""fr"": ""4""}"
1309347,2000000902005,Vergers de la montagne Anne Monnier,"[""Pur jus de pommes bio""]",1000,ml,1000.0,ml,,,ml,"{""0"": 50.49999999999999, ""1"": 0.1, ""2"": 0.046, ""3"": 12.2, ""4"": 11.84, ""5"": 0.23, ""6"": 0.2, ""7"": 0.02, ""8"": 8000.0, ""9"": 4320.0, ""11"": 5000000.0, ""12"": 1000000.0, ""13"": 300.0, ""14"": 4560.0, ""15"": 5000000.0, ""16"": 6590.0, ""17"": 113000.0, ""18"": 1000000.0, ""19"": 5000000.0, ""20"": 0.0, ""21"": 1300000.0, ""22"": 5000000.0, ""23"": 4200000.0, ""24"": 0.0, ""25"": 14500.000000000002, ""26"": 0.0, ""27"": 1000000.0, ""29"": 6749999.999999999, ""30"": 4300000.0, ""31"": 4500000.0}","{""fr"": ""13""}",{}
1309348,2000000902029,superu,"[""baguette ble noir""]",400.0,g,400.0,g,250.0,g,g,"{""0"": 175.1, ""1"": 7.1, ""2"": 3.5, ""3"": 21.0, ""4"": 1.7, ""6"": 6.8, ""7"": 0.7, ""8"": 280000.0}","{""fr"": ""11""}",{}
1309349,2000000902036,,"[""Chouquette creme patissiere x6""]",,,,,,,,,"{""fr"": ""3""}",{}
1309350,2000000902043,,"[""Malicia bio""]",,,,,,,g,"{""0"": 299.7, ""1"": 0.5, ""2"": 0.0, ""3"": 63.7, ""4"": 5.2, ""6"": 10.1, ""7"": 1.52, ""8"": 608000.0}","{""fr"": ""10""}",{}
1309351,2000000902050,Super U,"[""Baguette tradition Super U""]",,,,,,,,,{},"{""fr"": ""3""}"
1309352,2000000902104,,"[""Fougasse Provençale""]",,,,,,,,,{},"{""fr"": ""3""}"
1309353,2000000902135,,"[""Mini viennoiserie""]",,,,,,,g,"{""7"": 0.0, ""8"": 0.0}","{""en"": ""6"", ""fr"": ""3""}",{}
1309354,2000000902142,,"[""Pavé 6 céréales 5 graines""]",,,,,,,g,"{""0"": 309.8, ""1"": 8.2, ""2"": 1.1, ""3"": 48.0, ""4"": 1.7, ""6"": 11.0, ""7"": 1.1, ""8"": 440000.0}","{""fr"": ""10""}",{}
1309355,2000000902180,,"[""Oliose biscuits""]",,,,,,,,,{},"{""fr"": ""3""}"
1309356,2000000902197,,"[""Pain aux céréales 400g""]",400,g,400.0,g,,,,,{},"{""fr"": ""4""}"
1309357,2000000902210,,"[""Pain Batard complet""]",,,,,,,,,{},"{""fr"": ""3""}"
1309358,2000000902234,,"[""Pain d’epeautre complet""]",,,,,,,,,"{""fr"": ""3""}",{}
1309359,2000000902265,,"[""Carottes rapees""]",,,,,,,,,{},"{""fr"": ""4""}"
1309360,2000000902333,,"[""pain""]",,,,,,,,,{},"{""fr"": ""4""}"
1309361,2000000902340,,"[""Torsade de blé noir""]",,,,,,,,,{},{}
1309362,2000000902357,,"[""La landreger""]",,,,,,,g,"{""0"": 291.2, ""1"": 0.0, ""2"": 0.0, ""3"": 64.0, ""4"": 3.1, ""6"": 8.8, ""7"": 1.4, ""8"": 560000.0}","{""fr"": ""3""}",{}
1309363,2000000902371,,"[""Muffin arom citron fourré""]",,,,,,,g,"{""0"": 404.0, ""1"": 18.0, ""2"": 1.7, ""3"": 56.0, ""4"": 31.0, ""6"": 4.5, ""7"": 0.6, ""8"": 240000.0}","{""fr"": ""3""}",{}
1309364,2000000902388,U,"[""Baguette selection""]",,,,,,,g,"{""0"": 247.0, ""1"": 0.6, ""2"": 0.1, ""3"": 49.0, ""4"": 1.2, ""5"": 3.0, ""6"": 9.9, ""7"": 1.1, ""8"": 440000.0}","{""fr"": ""12""}",{}
1309365,2000000902432,,"[""NUCIOLA pate à Tartiner avec éclats de noisettes""]",,,,,,,g,"{""0"": 503.0, ""1"": 27.0, ""2"": 4.0, ""3"": 54.0, ""4"": 50.0, ""6"": 11.0, ""7"": 0.05, ""8"": 20000.0}","{""fr"": ""4""}",{}
1309366,2000000902449,,"[""Pain boule cereales""]",,,,,,,,,{},"{""fr"": ""4""}"
1309367,2000000902487,,"[""pain levain""]",250,g,250.0,g,,,,,{},"{""fr"": ""5""}"
1309368,2000000902524,U,"[""Baguette Tradition""]",,,,,,,,,{},{}
