product_index,code,brands,name_candidates,product_quantity,product_quantity_unit,package_quantity,package_quantity_unit,serving_quantity,serving_quantity_unit,nutrition_basis_unit,nutrition,image_1,image_2
2069516,3760239451710,,"[""Sauce barbecue""]",,,,,,,g,"{""0"": 166.5, ""1"": 0.5, ""2"": 0.0, ""3"": 40.0, ""4"": 40.0, ""6"": 0.5, ""7"": 2.5, ""8"": 1000000.0}","{""fr"": ""3""}",{}
2069517,3760239451727,,"[""Sauce blanche""]",350,ml,350.0,ml,,,ml,"{""0"": 558.3, ""1"": 61.5, ""2"": 5.0, ""3"": 0.3, ""4"": 0.0, ""6"": 0.9, ""7"": 1.1, ""8"": 440000.0}","{""fr"": ""3""}",{}
2069518,3760239452144,,"[""FIRAT - Sel d'himalaya KAYA TUZU ROCK SALT""]",,,,,,,g,"{""0"": 0.0}","{""fr"": ""3""}",{}
2069519,3760239452465,,"[""Citir pané harci""]",90,g,90.0,g,,,g,"{""0"": 300.07660714285726, ""1"": 3.01571428571429, ""2"": 0.682080357142857, ""3"": 56.9339285714286, ""4"": 4.81339285714286, ""5"": 4.54955357142857, ""6"": 9.04223214285714, ""7"": 0.0, ""8"": 0.0, ""9"": 53064.2857142857, ""11"": 95.80625, ""12"": 4.23526785714286, ""13"": 1811.79589285714, ""14"": 56410.7142857143, ""15"": 889.553571428571, ""16"": 185106.25, ""17"": 298687.5, ""18"": 5.42848214285714, ""19"": 1364.46428571429, ""20"": 0.0, ""21"": 224.9375, ""22"": 85.6607142857143, ""23"": 309.375, ""24"": 0.0, ""25"": 4387.5, ""26"": 0.0139285714285714, ""27"": 503.74999999999994, ""29"": 42.212500000000006, ""30"": 1056.78571428571, ""31"": 584.375}","{""fr"": ""3""}",{}
2069520,3760239452540,,"[""Vinaigre ceasar""]",,,,,,,g,"{""0"": 591.2, ""1"": 64.0, ""2"": 12.0, ""3"": 2.5, ""4"": 2.1, ""6"": 1.3, ""7"": 2.1, ""8"": 840000.0}","{""fr"": ""3""}",{}
2069521,3760239452557,,"[""Sauce Ciboulette""]",,,,,,,g,"{""0"": 561.2, ""1"": 60.0, ""2"": 4.8, ""3"": 4.4, ""4"": 4.1, ""6"": 0.9, ""7"": 2.2, ""8"": 880000.0}","{""fr"": ""3""}",{}
2069522,3760239452564,,"[""Vinaigrette miel moutarde""]",,,,,,,g,"{""0"": 496.8, ""1"": 48.0, ""2"": 3.9, ""3"": 15.0, ""4"": 14.0, ""6"": 1.2, ""7"": 1.8, ""8"": 720000.0}","{""fr"": ""3""}",{}
2069523,3760239452571,Danone,"[""Vinaigrette nature""]",450,ml,450.0,ml,,,ml,"{""0"": 449.8, ""1"": 48.0, ""2"": 3.8, ""3"": 3.3, ""4"": 3.2, ""5"": 0.5, ""6"": 0.9, ""7"": 2.3, ""8"": 920000.0}","{""fr"": ""9""}",{}
2069524,3760239452588,,"[""Huile d'olive vierge extra""]",,,,,,,g,"{""0"": 828.0, ""1"": 92.0, ""2"": 14.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
2069525,3760239452977,,"[""Olive verte XL""]",,,,,,,g,"{""0"": 218.51999999999998, ""1"": 21.4, ""2"": 4.1, ""3"": 5.28, ""4"": 0.0, ""6"": 1.2, ""7"": 0.91, ""8"": 364000.0}","{""fr"": ""3""}",{}
2069526,3760239453066,,"[""Mojjo covo""]",,,,,,,g,"{""0"": 50.0, ""1"": 2.7, ""2"": 2.5, ""3"": 6.2, ""4"": 5.4, ""6"": 0.3}",{},"{""fr"": ""3""}"
2069527,3760239453134,,"[""Olives noires tranchées""]",720,g,720.0,g,,,g,"{""0"": 222.4, ""1"": 24.0, ""2"": 2.4, ""3"": 0.0, ""4"": 0.0, ""6"": 1.6, ""7"": 3.0, ""8"": 1200000.0}","{""fr"": ""3""}",{}
2069528,3760239453196,,"[""Olive noir""]",1000,g,1000.0,g,,,g,"{""0"": 282.6, ""1"": 27.0, ""2"": 5.5, ""3"": 8.0, ""4"": 0.5, ""6"": 1.9, ""7"": 5.1, ""8"": 2040000.0}","{""fr"": ""8""}",{}
2069529,3760239453264,,"[""Huile d'olive""]",,,,,,,g,"{""0"": 824.4, ""1"": 91.6, ""2"": 12.8, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
2069530,3760239453288,,"[""Ezo yaa gold""]",,,,,,,g,"{""0"": 824.4, ""1"": 91.6, ""2"": 12.8, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
2069531,3760239453295,,"[""Huile olives""]",,,,,,,g,"{""0"": 824.4, ""1"": 91.6, ""2"": 12.8, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""19""}",{}
2069532,3760239453301,Bingoil,"[""BingOil""]",1000,ml,1000.0,ml,,,ml,"{""0"": 828.0, ""1"": 92.0, ""2"": 14.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
2069533,3760239453318,,"[""Huile de grignons d’olive""]",,,,,,,g,"{""0"": 828.0, ""1"": 92.0, ""2"": 14.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""9""}",{}
2069534,3760239453400,,"[""Bing oil""]",,,,,,,g,"{""0"": 899.1, ""1"": 99.9, ""2"": 3.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
2069535,3760239453417,,"[""Huile de tournesol""]",,,,,,,g,"{""0"": 899.1, ""1"": 99.9, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""10""}",{}
2069536,3760239453455,Didon,"[""Sucre en morceaux""]",1000,g,1000.0,g,,,g,"{""0"": 400.0, ""1"": 0.0, ""2"": 0.0, ""3"": 100.0, ""4"": 100.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
2069537,3760239453462,,"[""Dibon sucre en poudre""]",,,,,,,g,"{""0"": 400.0, ""1"": 0.0, ""2"": 0.0, ""3"": 100.0, ""4"": 100.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""4""}",{}
2069538,3760239453479,,"[""Bingoil""]",,,,,,,,,{},"{""fr"": ""3""}"
2069539,3760239453578,,"[""Farine de blé""]",1000,g,1000.0,g,,,g,"{""0"": 347.30000076293965, ""1"": 1.5, ""2"": 1.0, ""3"": 73.0, ""4"": 3.9000000953674, ""5"": 2.3, ""6"": 9.3000001907349, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""27""}",{}
2069540,3760239453714,,"[""Coconut Milk Banana""]",290,ml,290.0,ml,,,g,"{""0"": 46.0, ""1"": 2.0, ""2"": 2.0, ""3"": 7.0, ""4"": 5.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 16000.0}","{""fr"": ""32""}",{}
2069541,3760239453721,,"[""Mojjo coco Mango""]",,,,,,,g,"{""0"": 46.0, ""1"": 2.0, ""2"": 2.0, ""3"": 7.0, ""4"": 5.0, ""6"": 0.0, ""7"": 0.04, ""8"": 16000.0}","{""fr"": ""4""}",{}
2069542,3760239453738,,"[""Coconut milk pineapple""]",,,,,,,g,"{""0"": 46.0, ""1"": 2.0, ""2"": 2.0, ""3"": 7.0, ""4"": 5.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""26""}",{}
2069543,3760239453776,,"[""Istanbul eau de source""]",,,,,,,g,"{""0"": 11.2, ""1"": 0.0, ""2"": 0.0, ""3"": 1.0, ""4"": 0.0, ""6"": 1.8, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""6""}",{}
2069544,3760239453783,,"[""Istanbul""]",,,,,,,g,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""4""}",{}
2069545,3760239453790,,"[""Huile de maïs""]",,,,,,,g,"{""0"": 819.0, ""1"": 91.0, ""2"": 12.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
2069546,3760239454049,Bingoil,"[""Mélange d'huile vegetale""]",,,,,,,g,"{""0"": 900.0, ""1"": 100.0, ""2"": 15.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""4""}",{}
2069547,3760239454056,,"[""Huile d’olive""]",,,,,,,g,"{""0"": 900.0, ""1"": 100.0, ""2"": 15.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0}","{""fr"": ""4""}",{}
2069548,3760239454063,"Bingoil, Lognib","[""Bingoil""]",5000,ml,5000.0,ml,,,ml,"{""0"": 899.1, ""1"": 99.9, ""2"": 12.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 100.0, ""11"": 5.0, ""12"": 10.0, ""13"": 25.0, ""14"": 25.0, ""15"": 5.0, ""16"": 150.0, ""17"": 150.0, ""18"": 10.0, ""19"": 25.0, ""20"": 0.0, ""21"": 0.0, ""22"": 0.0, ""23"": 0.0, ""24"": 0.0, ""25"": 0.0, ""26"": 0.13, ""27"": 57300.0, ""29"": 0.0, ""30"": 0.0, ""31"": 0.0}","{""fr"": ""13""}",{}
2069549,3760239454094,,"[""Huile de colza raffinée""]",,,,,,,g,"{""0"": 900.0, ""1"": 100.0, ""2"": 8.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""4""}",{}
2069550,3760239455404,,"[""Basil seed drink""]",,,,,,,g,"{""0"": 61.8, ""1"": 1.0, ""2"": 0.0, ""3"": 13.2, ""4"": 12.3, ""6"": 0.0}","{""fr"": ""3""}",{}
2069551,3760239455411,,"[""Basil seed drink watermelon flavour""]",,,,,,,g,"{""0"": 50.8, ""1"": 0.0, ""2"": 0.0, ""3"": 12.7, ""4"": 11.7, ""6"": 0.0, ""7"": 0.02, ""8"": 8000.0}","{""fr"": ""3""}",{}
2069552,3760239455442,,"[""Olive noire""]",600,g,600.0,g,,,g,"{""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
2069553,3760239455466,,"[""Olives noires a la grecques""]",1000,g,1000.0,g,,,g,"{""0"": 282.6, ""1"": 27.0, ""2"": 5.5, ""3"": 8.0, ""4"": 0.5, ""6"": 1.9, ""7"": 5.1, ""8"": 2040000.0}","{""fr"": ""3""}",{}
2069554,3760239456975,firat,"[""Olives vertes cassées"", ""olives vertes""]",1580,g,1580.0,g,,,g,"{""0"": 112.0, ""1"": 12.0, ""2"": 1.8, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 1.0, ""7"": 4.5, ""8"": 1800000.0}","{""fr"": ""11""}",{}
2069555,3760239456982,,"[""Olives Violettes""]",,,,,,,g,"{""0"": 112.0, ""1"": 12.0, ""2"": 1.8, ""3"": 0.0, ""4"": 0.0, ""6"": 1.0, ""7"": 4.0, ""8"": 1600000.0}","{""fr"": ""3""}",{}
2069556,3760239457002,Firat,"[""Olives vertes""]",1580,g,1580.0,g,,,g,"{""0"": 112.0, ""1"": 12.0, ""2"": 1.8, ""3"": 0.0, ""4"": 0.0, ""6"": 1.0, ""7"": 4.5, ""8"": 1800000.0}","{""fr"": ""3""}",{}
2069557,3760239457033,,"[""Olive Vertes""]",720,g,720.0,g,,,g,"{""0"": 112.0, ""1"": 12.0, ""2"": 1.8, ""3"": 0.0, ""4"": 0.0, ""6"": 1.0, ""7"": 4.5, ""8"": 1800000.0}","{""fr"": ""3""}",{}
2069558,3760239457040,,"[""Olives vertes""]",350,g,350.0,g,,,g,"{""0"": 112.0, ""1"": 12.0, ""2"": 1.8, ""3"": 0.0, ""4"": 0.0, ""6"": 1.0, ""7"": 4.0, ""8"": 1600000.0}","{""fr"": ""3""}",{}
2069559,3760239457057,,"[""Olives violettes""]",400,g,400.0,g,,,g,"{""0"": 112.0, ""1"": 12.0, ""2"": 1.8, ""3"": 0.0, ""4"": 0.0, ""6"": 1.0, ""7"": 4.0, ""8"": 1600000.0}","{""fr"": ""3""}",{}
2069560,3760239457088,,"[""Huile""]",,,,,,,g,"{""0"": 899.1, ""1"": 99.9, ""2"": 12.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
2069561,3760239458177,,"[""Black olives""]",2000,g,2000.0,g,,,g,"{""0"": 295.4, ""1"": 27.0, ""2"": 5.5, ""3"": 8.0, ""4"": 0.5, ""6"": 5.1, ""7"": 1.9, ""8"": 760000.0}","{""fr"": ""9""}",{}
2069562,3760239458191,,"[""huile d'arachide""]",,,,,,,g,"{""7"": 0.0, ""8"": 0.0}","{""fr"": ""8""}",{}
2069563,3760239458214,BINGOIL,"[""Huile d’olive vierge extra""]",1000,ml,1000.0,ml,,,ml,"{""0"": 828.0, ""1"": 92.0, ""2"": 14.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 100.0, ""11"": 5.0, ""12"": 10.0, ""13"": 25.0, ""14"": 25.0, ""15"": 5.0, ""16"": 150.0, ""17"": 150.0, ""18"": 10.0, ""19"": 25.0, ""20"": 0.0, ""21"": 0.0, ""22"": 0.0, ""23"": 0.0, ""24"": 0.0, ""25"": 0.0, ""26"": 0.13, ""27"": 22300.0, ""29"": 0.0, ""30"": 0.0, ""31"": 0.0}","{""fr"": ""3""}",{}
2069564,3760239570015,,"[""Terrine de châtaignes aux olives""]",100,g,100.0,g,,,,,{},"{""fr"": ""3""}"
2069565,3760239570022,,"[""Terrine de chataigne""]",,,,,,,g,"{""0"": 201.10000000000002, ""1"": 11.5, ""2"": 1.1, ""3"": 21.6, ""4"": 3.3, ""6"": 2.8, ""7"": 0.77, ""8"": 308000.0}","{""fr"": ""4""}",{}
2069566,3760239570039,,"[""Terrine de châtaigne à l'ortie""]",100,g,100.0,g,,,g,"{""0"": 192.38, ""1"": 11.5, ""2"": 1.0, ""3"": 20.7, ""4"": 3.1, ""6"": 1.52, ""7"": 0.77, ""8"": 308000.0}","{""fr"": ""3""}",{}
