"code","brands","product_name","product_name_en","product_name_fr","product_name_de","product_name_it","generic_name","generic_name_en","generic_name_fr","generic_name_it","generic_name_hr","quantity","product_quantity","product_quantity_unit","serving_quantity","serving_quantity_unit","energy_kcal_value","energy_kcal_basis","energy_kcal_unit","image_1","image_2"
"8431876301526","Carrefour","Pepinillos Agridulces","","","","","","","","","","670 g","670","g","","","34","100g","kcal","{""es"": ""3""}","{}"
"8431876301533","Carrefour","Guindilla en Vinagre","","","","","","","","","","","","","","","41","100g","kcal","{""es"": ""11""}","{}"
"8431876301540","Carrefour","Ajos aliñados","","","","","","","","","","","","","","","37","100g","kcal","{""es"": ""3""}","{}"
"8431876301557","Carrefour, De nuestra tierra","Gilda con queso","","","","","","","","","","245 g","245","g","","","326","100g","kcal","{""es"": ""9""}","{}"
"8431876301564","","","","","","","","","","","","","","","","","","","","{}","{""es"": ""3""}"
"8431876301601","Carrefour","Pepinillos Sabor Anchoa","","","","","","","","","","","","","","","18","100g","kcal","{""es"": ""3""}","{}"
"8431876301656","Carrefour","Helado sandwich sin azúcar","","","","","","","","","","","","","","","237","100g","kcal","{""es"": ""18""}","{}"
"8431876301663","Carrefour, Carrefour classic","Yogur líquido edulcorado 0% grasa 0% azúcares","","Yogurt líquido edulcorado 0%","","","","","","","","","","","","","31","100g","kcal","{""es"": ""17"", ""fr"": ""3""}","{}"
"8431876301670","Carrefour","Yogur líquido piña sin azúcares","","","","","","","","","","1kg (980ml)","1000","g","","","32","100g","kcal","{""es"": ""14""}","{}"
"8431876301687","Carrefour","Yougurt líquido fresa carrefour","","","","","","","","","","1kg (980ml)","1000.0","g","200","g","33","100g","kcal","{""es"": ""16""}","{}"
"8431876301694","Carrefour","Yogur líquido de fresa","","","","","","","","","","","","","","","76","100g","kcal","{""es"": ""9""}","{}"
"8431876301700","Carrefour","Yogur líquido natural azucarado","","","","","","","","","","","","","","","74","100g","kcal","{""es"": ""9""}","{}"
"8431876301717","","Yogur líquido piña y coco","","","","","","","","","","","","","","","75","100g","kcal","{""es"": ""8""}","{}"
"8431876301786","Carrefour","Tortillas De Trigo Y Maíz","","","","","","","","","","","","","","","313","100g","kcal","{""es"": ""11""}","{}"
"8431876301816","","Pimientos tricolor","","","","","","","","","","","","","","","","","","{""es"": ""3""}","{}"
"8431876301823","Carrefour","Helado roler espiral piña, lima limón y fresa","","","","","","","","","","","","","","","113","100g","kcal","{""es"": ""3""}","{}"
"8431876301830","Carrefour","Cono Sabor Nata Con Crocanti De Avellana","","","","","","","","","","","","","","","288","100g","kcal","{""es"": ""10""}","{}"
"8431876301847","","","","","","","","","","","","","","","","","","","","{""es"": ""7""}","{}"
"8431876301854","Carrefour","Polo de fruta con mango","","","","","","","","","","","","","","","92","100g","kcal","{""es"": ""3""}","{}"
"8431876301861","Carrefour","Polo de fruta con coco","","","","","","","","","","","","","","","116","100g","kcal","{""es"": ""3""}","{}"
"8431876301878","Carrefour","Kiwi verde","","","","","","","","","","750 g","750","g","","","","","","{""es"": ""3""}","{}"
"8431876301908","Carrefour","Pan para bocadillo sin gluten","","","","","","","","","","","","","","","250","100g","kcal","{""es"": ""10""}","{}"
"8431876301922","Bon appetit, Carrefour","Sándwich cangrejo","","","","","","","","","","","","","","","232","100g","kcal","{""es"": ""12""}","{}"
"8431876301939","Bon appetit, Carrefour","Sándwich atún","","","","","","","","","","","","","","","245","100g","kcal","{""es"": ""11""}","{}"
"8431876301946","Bon appetit, Carrefour","Sándwich tortilla mixto","","","","","","","","","","","","","","","214","100g","kcal","{""es"": ""3""}","{}"
"8431876301953","Carrefour","Sandwich jamón cremoso","","","","","","","","","","","","","","","350","100g","kcal","{""es"": ""3""}","{}"
"8431876301960","Bon appetit, Carrefour","Sándwich de pavo con ensalada","","","","","","","","","","","","","","","207","100g","kcal","{""es"": ""9""}","{}"
"8431876301977","Carrefour","Sandwich vegetal con atún","","","","","","","","","","140 g","140","g","","","189","100g","kcal","{""es"": ""19""}","{}"
"8431876301984","Bon appetit, Carrefour","Sándwich bacon con huevo","","","","","","","","","","150 g","150","g","","","274","100g","kcal","{""es"": ""10""}","{}"
"8431876301991","Carrefour","Sandwich pollo mostaza y miel","","","","","","","","","","","","","","","275","100g","kcal","{""es"": ""12""}","{}"
"8431876302004","Carrefour","Sandwich nórdico cremoso","","","","","","","","","","","","","","","225","100g","kcal","{""es"": ""3""}","{}"
"8431876302011","Bon appetit, Carrefour","Sándwich atún con huevo y lechuga","","","","","","","","","","","","","","","215","100g","kcal","{""es"": ""3""}","{}"
"8431876302028","Carrefour","Sandwich queso azul con nueces, rúcula y pasas","","","","","","","","","","20","","","","","246","100g","kcal","{""es"": ""10""}","{}"
"8431876302035","Bon appetit, Carrefour","Sandwich de pollo al curry","Sandwich De Pollo Al Curry","","","","","","","","","","","","200","g","197","100g","kcal","{""es"": ""3""}","{}"
"8431876302066","Carrefour","Cocktail de encurtidos combinado","","","","","","","","","","","","","","","39","100g","kcal","{""es"": ""16""}","{}"
"8431876302073","Carrefour","Mejillones en escabeche","","","","","","","","","","","","","","","233","100g","kcal","{""es"": ""17""}","{}"
"8431876302080","Carrefour","Berberechos","","","","","","","","","","","","","","","56","100g","kcal","{""es"": ""9""}","{}"
"8431876302097","Carrefour","Berberecho natural 60/100","","","","","","","","","","120ml","120","ml","","","79","100ml","kcal","{""es"": ""16""}","{}"
"8431876302127","Carrefour","Berberecho natural 20/30","","","","","","","","","","","","","","","79","100g","kcal","{""es"": ""8""}","{}"
"8431876302134","Carrefour","Berberechos al natural","","Berberechos al natural","","","","","","","","","","","","","56","100g","kcal","{""es"": ""11"", ""fr"": ""3""}","{}"
"8431876302141","Carrefour","Berberecho natural 45/55","","","","","","","","","","","","","","","79","100g","kcal","{""es"": ""13""}","{}"
"8431876302158","Carrefour","","","","","","","","","","","","","","","","","","","{}","{""es"": ""3""}"
"8431876302165","Carrefour","Berberecho natural 30/45","","","","","","","","","","","","","","","79","100g","kcal","{""es"": ""8""}","{}"
"8431876302172","Carrefour","Berberechos al natural","Berberechos al natural","","","","","","","","","","","","100","g","56.0","serving","kcal","{""en"": ""3""}","{}"
"8431876302189","Carrefour","Berberecho natural","","","","","","","","","","","","","","","79","100g","kcal","{""es"": ""15""}","{}"
"8431876302196","Carrefour, Carrefour Classic","Mejillon en escabeche","","","","","","","","","","240g (3x80g)","240","g","","","147","100g","kcal","{""en"": ""7"", ""es"": ""14""}","{}"
"8431876302219","Carrefour","Mejillones Al Natural","","","","","","","","","","111g","111","g","","","71","100g","kcal","{""es"": ""7""}","{}"
"8431876302226","Carrefour","Mejillones al natural","","","","","","","","","","","","","","","108","100g","kcal","{""es"": ""14""}","{}"
"8431876302240","Carrefour","Mejillones en escabeche picante","","","","","","","","","","69g","69","g","","","147","100g","kcal","{""es"": ""15""}","{}"
"8431876302257","Carrefour","Mejillones en escabeche picante","","","","","Mejillones en escabeche picantes","","","","","13/18 piezas, 115 g","115.0","g","69.0","g","149","100g","kcal","{""es"": ""32""}","{}"
