product_index,code,brands,name_candidates,product_quantity,product_quantity_unit,package_quantity,package_quantity_unit,serving_quantity,serving_quantity_unit,nutrition_basis_unit,nutrition,image_1,image_2
3252096,7702001072064,Alpina,"[""Crema de Leche""]",1100,ml,1100.0,ml,15.0,ml,g,"{""0"": 400.0, ""1"": 40.0, ""2"": 23.3, ""3"": 6.67, ""4"": 6.67, ""5"": 0.0, ""6"": 0.0, ""7"": 8.33e-05, ""8"": 33.300000000000004}",{},"{""es"": ""3""}"
3252097,7702001081103,Alpina,"[""Arequipito Alpina""]",,,,,,,g,"{""0"": 319.4, ""1"": 7.8, ""2"": 5.6, ""3"": 56.0, ""4"": 52.0, ""5"": 0.0, ""6"": 6.3, ""7"": 0.415, ""8"": 166000.0, ""9"": 272000.0, ""19"": 3600.0, ""20"": 0.0, ""26"": 3000000.0}","{""fr"": ""10"", ""es"": ""20""}",{}
3252098,7702001082018,Alpina,"[""Arequipe 50 grs""]",,,,,,,g,"{""0"": 264.0, ""1"": 8.0, ""2"": 6.0, ""3"": 40.0, ""4"": 40.0, ""6"": 8.0}","{""fr"": ""14""}",{}
3252099,7702001082070,,"[""Arequipe""]",,,,,50.0,g,g,"{""0"": 319.4, ""1"": 7.8, ""2"": 5.6, ""3"": 56.0, ""4"": 52.0, ""5"": 0.0, ""6"": 6.3, ""7"": 0.415, ""8"": 166000.0, ""9"": 272000.0, ""19"": 3600.0, ""26"": 3000000.0}","{""es"": ""3""}",{}
3252100,7702001082131,Alpina,"[""Arequipe"", ""Alpina Arequipe""]",500,g,500.0,g,,,g,"{""0"": 319.4, ""1"": 7.8, ""2"": 5.6, ""3"": 56.0, ""4"": 52.0, ""5"": 0.0, ""6"": 6.3, ""7"": 0.166, ""8"": 66400.0}","{""es"": ""18"", ""fr"": ""13""}",{}
3252101,7702001084975,Alpina,"[""Avena Finesse""]",1000,ml,1000.0,ml,,,,,"{""es"": ""3""}",{}
3252102,7702001084999,Alpina,"[""Avena Finesse"", ""finesse Avena""]",250,g,250.0,g,250.0,g,g,"{""0"": 40.0, ""1"": 0.4, ""2"": 0.2, ""3"": 6.0, ""4"": 2.8, ""5"": 0.4, ""6"": 3.2, ""7"": 8.999999999999999e-05, ""8"": 36.0, ""10"": 0.0, ""11"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""21"": 0.0, ""22"": 0.0, ""23"": 0.0, ""24"": 0.0, ""25"": 0.0, ""27"": 0.0, ""28"": 0.0, ""29"": 0.0}","{""en"": ""23"", ""es"": ""37""}",{}
3252103,7702001086023,Alpina,"[""Bon Yurt Zucaritas"", ""Bon Yurt Zucaritos"", ""Bon Yurt""]",170.0,g,170.0,g,170.0,g,g,"{""0"": 77.6470588235294, ""1"": 1.3494809688581293, ""2"": 0.8304498269896176, ""3"": 14.878892733564001, ""4"": 9.342560553633236, ""5"": 0.0, ""6"": 1.695501730103806, ""7"": 0.175, ""8"": 70000.0, ""9"": 40138.4083044983, ""10"": 0.0, ""11"": 0.0, ""13"": 934.2560553633235, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 134.94809688581296, ""20"": 0.0, ""25"": 0.0, ""26"": 0.0, ""27"": 0.0, ""28"": 0.0}","{""es"": ""25""}",{}
3252104,7702001086054,Alpina,"[""Bon yurt"", ""Bonyurt""]",,,,,,,g,"{""0"": 128.9940828402345, ""1"": 2.3668639053254, ""2"": 1.4792899408284, ""3"": 23.668639053254, ""4"": 14.792899408284, ""5"": 0.59171597633136, ""6"": 2.9585798816568, ""7"": 0.19970414201184, ""8"": 79881.65680473599}","{""es"": ""11"", ""fr"": ""3""}",{}
3252105,7702001086337,Alpina,"[""Bon yurt  chokogozzo""]",,,,,171.0,g,g,"{""0"": 137.0, ""1"": 5.09, ""2"": 3.68, ""3"": 19.9, ""4"": 17.0, ""5"": 0.0, ""6"": 2.81, ""7"": 0.102, ""8"": 40900.0, ""9"": 66100.0, ""13"": 0.0, ""19"": 392.0}","{""en"": ""3""}",{}
