"code","brands","product_name","product_name_en","product_name_fr","product_name_de","product_name_it","generic_name","generic_name_en","generic_name_fr","generic_name_it","generic_name_hr","quantity","product_quantity","product_quantity_unit","serving_quantity","serving_quantity_unit","energy_kcal_value","energy_kcal_basis","energy_kcal_unit","image_1","image_2"
"4088700067499","Forresters","Almond Silvered","Almond Silvered","","","","","","","","","125 g","125.0","g","30.0","g","","","","{""en"": ""3""}","{}"
"4088700067505","Forresters","Almond flaked","Almond flaked","","","","","","","","","","","","30","g","603.3333333333334","100g","kcal","{}","{}"
"4088700067529","","Almond meal","Almond meal","","","","","","","","","400 g","400","","","","","","","{}","{""en"": ""3""}"
"4088700067536","","Garlic naan bread","Garlic naan bread","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"4088700067543","","Traditional naan bread","Traditional naan bread","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"4088700067574","Aldi","Aldi Pork Sausage","Aldi Pork Sausage","","","","","","","","","","","","84","","","","","{}","{}"
"4088700067611","Aldi","Basa filet","Basa filet","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"4088700067680","Forresters","Salted mixed nuts","Salted mixed nuts","","","","","","","","","5 x 45 g","225.0","g","45.0","g","","","","{""en"": ""3""}","{}"
"4088700067697","Forresters","Smokey BBQ Mix","Smokey BBQ Mix","","","","","","","","","5 x 45 g","225.0","g","45.0","g","541.7463352453799","serving","kcal","{""en"": ""10""}","{}"
"4088700067703","","Trail mix","Trail mix","","","","","","","","","5 x 45 g","225","","","","","","","{}","{""en"": ""3""}"
"4088700067710","","Dry roasted honey mixed nuts","Dry roasted honey mixed nuts","","","","","","","","","5 x 45 g","225","","","","","","","{}","{""en"": ""3""}"
"4088700067772","Westacre Dairy","Cottage Cheese High Protein","Cottage Cheese High Protein","","","","","","","","","","","","125.0","g","","","","{}","{""en"": ""3""}"
"4088700067833","","Unsweetened Coconut Milk","Unsweetened Coconut Milk","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"4088700067840","DAMORA","Crispetts crispbread light & crunchy","Crispetts crispbread light & crunchy","","","","","","","","","","","","14","g","242.420103796777","100g","kcal","{""en"": ""4""}","{}"
"4088700067857","DAMORA Vita Grain","9 Grains & Seeds Wholegrain Crackers","9 Grains & Seeds Wholegrain Crackers","","","","","","","","","","","","27","g","","","","{""en"": ""3""}","{}"
"4088700067864","DAMORA","Vita Grain Original Wholegrain Crackers","Vita Grain Original Wholegrain Crackers","","","","","","","","","250g","250.0","g","25.0","g","409.17784","100g","kcal","{""en"": ""4""}","{}"
"4088700067871","Damora","Sesame wholegrain crackers","Sesame wholegrain crackers","","","","","","","","","250 g","250","","","","","","","{}","{""en"": ""3""}"
"4088700068090","","Broc and cauliflower gratin","Broc and cauliflower gratin","","","","","","","","","4 x 100 g","400","g","","","","","","{}","{""en"": ""12""}"
"4088700068199","Mantovani","Chocolate Chip Panettone","Chocolate Chip Panettone","","","","","","","","","750g","750.0","g","50.0","g","","","","{}","{""en"": ""3""}"
"4088700068441","Aldi","Coconut milk","Coconut milk","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"4088700068458","Just organic","Organic coconut cream","Organic coconut cream","","","","","","","","","400 ml","400.0","ml","80.0","g","172.5","100ml","kcal","{""en"": ""4""}","{}"
"4088700068533","World Kitchen","Garlic bread","Garlic bread","","","","","","","","","","","","30","g","","","","{}","{""en"": ""9""}"
"4088700068540","","Organic coconut milk","Organic coconut milk","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"4088700068724","","green chickpea curry","green chickpea curry","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"4088700068748","Health & Vitality","Tuna mornay","Tuna mornay","","","","","","","","","","","","400","g","","","","{}","{""en"": ""3""}"
"4088700068755","Health & Vitality","Shepherd's Pie","Shepherd's Pie","","","","","","","","","","","","400","g","94.4072657743785","100g","kcal","{""en"": ""3""}","{}"
"4088700068762","Health & Vitality","CHICKEN & MUSHROOM RISOTTO","CHICKEN & MUSHROOM RISOTTO","","","","","","","","","","","","350","g","101.14285714285714","serving","kcal","{""en"": ""4""}","{}"
"4088700068779","Health n vitality","Sundried Tomato Chicken & Pasta","Sundried Tomato Chicken & Pasta","","","","","","","","","","","","370","g","111.081","serving","kcal","{""en"": ""4""}","{}"
"4088700068786","","Chicken parmigiana","Chicken parmigiana","","","","","","","","","","","","","","","","","{}","{""en"": ""7""}"
"4088700068793","International Cuisine","Lamb Shank","Lamb Shank","","","","","","","","","","","","","","94.6875","100g","kcal","{""en"": ""3""}","{}"
"4088700068809","Health & Vitality","BEEF STROGANOFF","BEEF STROGANOFF","","","","","","","","","280g","280.0","g","280.0","g","","","","{""en"": ""14""}","{}"
"4088700068816","Health & Vitality","Lamb Hot Pot","Lamb Hot Pot","","","","","","","","","","","","290","g","82.4137931034483","100g","kcal","{""en"": ""3""}","{}"
"4088700068885","","Precious earth","Precious earth","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"4088700068939","Onset Nutrition","Chocolate nut fudge protein bar","Chocolate nut fudge protein bar","","","","","","","","","51 g","51","g","","","","","","{""en"": ""3""}","{}"
