"code","brands","product_name","product_name_en","product_name_fr","product_name_de","product_name_it","generic_name","generic_name_en","generic_name_fr","generic_name_it","generic_name_hr","quantity","product_quantity","product_quantity_unit","serving_quantity","serving_quantity_unit","energy_kcal_value","energy_kcal_basis","energy_kcal_unit","image_1","image_2"
"0021908137179","CASCADIAN FARM ORGANIC","COCOA ALMOND GRANOLA","COCOA ALMOND GRANOLA","","","Organic Cocoa Almond Granola","","","","","","","","","57","g","438.59649122807","100g","kcal","{""it"": ""4""}","{}"
"0021908137216","LÄRABAR","Trail Mix Bar Peanut Butter & Jelly","Trail Mix Bar Peanut Butter & Jelly","","","","","","","","","","","","30","g","","","","{""en"": ""5""}","{}"
"0021908137223","Larabar","Trail Mix Bar Dark Chocolate Peanut","Trail Mix Bar Dark Chocolate Peanut","","","","","","","","","","","","30","g","","","","{}","{}"
"0021908137261","","Chocolate macaroon fruit, nut & chocolate bites","Chocolate macaroon fruit, nut & chocolate bites","","","","","","","","","","","","30","g","","","","{}","{}"
"0021908137292","Larabar","Trail Mix Bar Dark Chocolate Peanut","Trail Mix Bar Dark Chocolate Peanut","","","","","","","","","","","","","","","","","{}","{}"
"0021908137315","Larabar","Trail Mix Bar Peanut Butter & Jelly","Trail Mix Bar Peanut Butter & Jelly","","","","","","","","","","","","30.0","g","","","","{}","{}"
"0021908137483","LÄRABAR","TRAIL MIX BAR PEANUT BUTTER & JELLY BAKED NUT BAR","TRAIL MIX BAR PEANUT BUTTER & JELLY BAKED NUT BAR","","","","","","","","","","","","30","g","","","","{""en"": ""20""}","{}"
"0021908137698","LÄRABAR","Trail Mix Bar Chocolate Coconut Macaroon Baked Nut Bar","Trail Mix Bar Chocolate Coconut Macaroon Baked Nut Bar","","","","","","","","","","","","30","g","","","","{""en"": ""14""}","{}"
"0021908137711","Larabar","Trail Mix Bar Chocolate Coconut Macaroon","Trail Mix Bar Chocolate Coconut Macaroon","","","","","","","","","","","","","","","","","{}","{}"
"0021908137971","LÄRABAR","TRAIL MIX BAR DARK CHOCOLATE PEANUT BAKED NUT BAR","TRAIL MIX BAR DARK CHOCOLATE PEANUT BAKED NUT BAR","","","","","","","","","","","","30","g","533.333333333333","100g","kcal","{""en"": ""3""}","{}"
"0021908137988","Larabar","Trail Mix Bar Chocolate Coconut Macaroon","Trail Mix Bar Chocolate Coconut Macaroon","","","","","","","","","","","","30","g","","","","{}","{}"
"0021908138053","Lara Bar","Lara Bar PB Chocolate Chip","Lara Bar PB Chocolate Chip","","","","","","","","","","","","22","g","500.0","serving","kcal","{""en"": ""3""}","{}"
"0021908138480","LÄRABAR","Trail Mix Bar Chocolate Coconut Macaroon Baked Nut Bar","Trail Mix Bar Chocolate Coconut Macaroon Baked Nut Bar","","","","","","","","","","","","30.0","g","","","","{""en"": ""4""}","{}"
"0021908138497","Larabar","Trail Mix Bar Peanut Butter & Jelly","Trail Mix Bar Peanut Butter & Jelly","","","","","","","","","","","","30.0","g","","","","{}","{""en"": ""12""}"
"0021908138510","Larabar","Trail Mix Bar Dark Chocolate Peanut","Trail Mix Bar Dark Chocolate Peanut","","","","","","","","","","","","30","g","533.3333333333334","serving","kcal","{""en"": ""10""}","{}"
"0021908138817","LÄRABAR","minis Lemon Bar","minis Lemon Bar","","","","","","","","","","","","22","g","","","","{""en"": ""4""}","{}"
"0021908139050","Cascadian Farm Organic","Oats and Honey Granola","Oats and Honey Granola","","","","","","","","","","","","62","g","","","","{""en"": ""16""}","{}"
"0021908139067","Cascadian Farm","Fruit And NUT Granola","Fruit And NUT Granola","","","","","","","","","","","","63.0","g","","","","{}","{}"
"0021908139319","Cascadian farm","Vanilla crisp cereal","Vanilla crisp cereal","","","","","","","","","58 g","58.0","g","58.0","g","396.55172413793105","serving","kcal","{""en"": ""40""}","{}"
"0021908139326","Cascadian Farm","Mixed berry cereal, no added sugar","Mixed berry cereal, no added sugar","","","","","","","","","354 g","354.0","g","60.0","g","416.6666666666667","serving","kcal","{""en"": ""19""}","{}"
"0021908140384","Kirkland","Organic whole cashews","Organic whole cashews","","","","","","","","","4×100","","","63","g","523.8095238095239","serving","kcal","{""en"": ""3""}","{}"
"0021908140391","","","","","","","","","","","","","","","","","","","","{""en"": ""3""}","{}"
"0021908141077","","","","","","","","","","","","","","","58.0","g","","","","{}","{}"
"0021908142753","Cascadian Farm","cookie crunch","cookie crunch","","","","","","","","","","","","42","g","404.761904761905","100g","kcal","{""en"": ""8""}","{}"
"0021908142760","Cascading Farms","Sprinkle Cookie Crunch","Sprinkle Cookie Crunch","","","","","","","","","","","","42.0","g","","","","{}","{}"
"0021908142852","Cascadian Farm","Cookies 'n' Crème Cookie Granola","Cookies 'n' Crème Cookie Granola","","","","","","","","","","","","62.0","g","","","","{}","{}"
"0021908142869","Cascadian Farm","Chocolate Chip Cookie Granola","","","","Chocolate Chip Cookie Granola","","","","","","","","","62","g","451.61290322580646","serving","kcal","{}","{}"
"0021908142876","Cascadian Farm","Mixed Berry Cereal","Mixed Berry Cereal","","","","","","","","","","","","60","g","416.666666666667","100g","kcal","{}","{}"
"0021908143514","Cascadian Farm","Blueberry Almond Soft-Baked Granola Bites","Blueberry Almond Soft-Baked Granola Bites","","","","","","","","","","","","30","g","433.3333333333333","serving","kcal","{}","{}"
"0021908146317","Cascadian Farm,  Small Planet Foods  Inc.","Cascadian farm, chewy granola bars, peanut butter chip","Cascadian farm, chewy granola bars, peanut butter chip","","","","","","","","","","","","35","g","","","","{}","{}"
"0021908174143","Cascadian Farm,  Small Planet Foods  Inc.","Premium Organic Broccoli & Carrots","Premium Organic Broccoli & Carrots","","","","","","","","","107 g","107.0","g","107.0","g","","","","{}","{}"
