product_index,code,brands,name_candidates,product_quantity,product_quantity_unit,package_quantity,package_quantity_unit,serving_quantity,serving_quantity_unit,nutrition_basis_unit,nutrition,image_1,image_2
3927856,8718907400824,AH,"[""Chiazaad"", ""AH Chiazaad""]",125.0,g,125.0,g,1.0,g,g,"{""0"": 460.6, ""1"": 33.0, ""2"": 4.0, ""3"": 4.9, ""4"": 0.7, ""5"": 32.0, ""6"": 20.0, ""7"": 0.03, ""8"": 12000.0, ""10"": 0.0, ""11"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""25"": 0.0, ""27"": 0.0, ""28"": 0.0}","{""nl"": ""27""}",{}
3927857,8718907400831,Albert Heijn,"[""Lijnzaad""]",5,g,5.0,g,5.0,g,g,"{""0"": 510.0, ""1"": 42.0, ""3"": 1.6, ""6"": 18.0}","{""nl"": ""4""}",{}
3927858,8718907401098,Ah,"[""Yoghurt Mager""]",,,,,125.0,g,g,"{""0"": 91.9, ""1"": 0.8800000000000001, ""2"": 0.4, ""3"": 12.8, ""4"": 10.4, ""5"": 0.16, ""6"": 3.5200000000000005, ""7"": 0.0975, ""8"": 39000.0}",{},{}
3927859,8718907401104,Albert Heijn,"[""Magere yoghurt naturel"", ""YOGHURT maigre / magere""]",125.0,g,125.0,g,125.0,g,g,"{""0"": 40.0, ""1"": 0.8, ""2"": 0.5, ""3"": 4.4, ""4"": 4.4, ""5"": 0.0, ""6"": 3.8, ""7"": 0.13, ""8"": 52000.0}","{""fr"": ""3"", ""nl"": ""17""}",{}
3927860,8718907401128,125 g,"[""crème desert""]",,,,,,,g,"{""0"": 105.0, ""2"": 1.7, ""3"": 18.0, ""5"": 0.1, ""6"": 2.1}","{""nl"": ""5""}",{}
3927861,8718907403368,Albert Heijn,"[""Vega salad bowl roasted veggie""]",,,,,250.0,g,g,"{""0"": 184.0, ""1"": 13.0, ""2"": 2.7000000476837203, ""3"": 11.0, ""4"": 2.59999990463257, ""6"": 5.69999980926514}",{},{}
3927862,8718907403429,Albert Heijn,"[""Vegan kibbeling"", ""Kibbeling""]",,,,,100.0,g,g,"{""0"": 181.0, ""1"": 6.4, ""2"": 0.8, ""3"": 22.0, ""4"": 0.6, ""5"": 3.2, ""6"": 7.3}","{""nl"": ""8"", ""en"": ""3""}",{}
3927863,8718907403443,Albert Heijn,"[""Vegetarische pulled chicken""]",,,,,100.0,g,g,"{""0"": 235.0, ""1"": 16.0, ""2"": 2.0, ""3"": 3.40000009536743, ""4"": 0.800000011920929, ""5"": 0.899999976158142, ""6"": 19.0}",{},"{""nl"": ""6""}"
3927864,8718907403726,Albert Heijn,"[""Appelmoes""]",,,,,125.0,g,g,"{""0"": 62.0, ""1"": 0.0, ""2"": 0.0, ""3"": 14.0, ""4"": 13.0, ""5"": 0.6, ""6"": 1.2, ""7"": 0.0, ""8"": 0.0}",{},"{""nl"": ""4""}"
3927865,8718907403757,AH,"[""AH Appelcompote""]",570,g,570.0,g,,,g,"{""0"": 70.8, ""1"": 0.4, ""2"": 0.2, ""3"": 16.0, ""4"": 14.0, ""5"": 1.0, ""6"": 0.3, ""7"": 0.03, ""8"": 12000.0, ""9"": 4898.4, ""11"": 29.9066666666667, ""12"": 0.10400000000000001, ""13"": 69.2533333333333, ""14"": 3884.0, ""15"": 36.647999999999996, ""16"": 10560.0, ""17"": 86760.0, ""18"": 0.277333333333333, ""19"": 48.533333333333296, ""20"": 0.0, ""21"": 18.240000000000002, ""22"": 27.3866666666667, ""23"": 35.519999999999996, ""24"": 0.0, ""25"": 3840.0, ""26"": 0.0, ""27"": 48.0, ""29"": 0.0, ""30"": 87.36, ""31"": 68.16}","{""nl"": ""6"", ""en"": ""11""}",{}
