"code","brands","product_name","product_name_en","product_name_fr","product_name_de","product_name_it","generic_name","generic_name_en","generic_name_fr","generic_name_it","generic_name_hr","quantity","product_quantity","product_quantity_unit","serving_quantity","serving_quantity_unit","energy_kcal_value","energy_kcal_basis","energy_kcal_unit","image_1","image_2"
"5057172820870","","ASDA Tender 4 Lamb Chops","ASDA Tender 4 Lamb Chops","","","","","","","","","300 Grams","300","g","","","","","","{}","{""en"": ""3""}"
"5057172820894","Asda","Lamb chops","","Lamb chops","","","","","","","","320 g","320","g","","","247","100g","kcal","{""fr"": ""16""}","{}"
"5057172820931","Asda","Garlic and rosemary lamb rump steaks","Garlic and rosemary lamb rump steaks","","","","","","","","","","","","","","266","100g","kcal","{""en"": ""3""}","{}"
"5057172820948","Asda","Lamb Leg Steaks","","","","","","","","","","","","","","","223","100g","kcal","{}","{}"
"5057172821051","","Classic Burger Sauce","Classic Burger Sauce","","","","","","","","","","","","","","382","100g","kcal","{""en"": ""3""}","{}"
"5057172821198","Asda","Snaks","Snaks","","","","","","","","","","","","","","506","100g","kcal","{""en"": ""3""}","{}"
"5057172821204","Asda","Giant Wiggles Flaming Hot","Giant Wiggles Flaming Hot","","","","","","","","","","","","","","495","100g","kcal","{""en"": ""8""}","{}"
"5057172821211","Asda","Sweet chilli crispy peanuts","Sweet chilli crispy peanuts","","","","","","","","","","","","","","534","100g","kcal","{""en"": ""3""}","{}"
"5057172821228","Asda","Wasabi Snack Mix","Wasabi Snack Mix","","","","","","","","","125 g","125.0","g","25.0","g","447","100g","kcal","{""en"": ""9""}","{}"
"5057172821273","Asda","Biscuit & snacks sharing asda extra special crisps sea salt and cider vinegar","Biscuit & snacks sharing asda extra special crisps sea salt and cider vinegar","","","","","","","","","","","","100","g","486.0","serving","kcal","{""en"": ""9""}","{}"
"5057172821297","","Panang chicken tortilla rolls","Panang chicken tortilla rolls","","","","","","","","","","","","","","520","100g","kcal","{""en"": ""6""}","{}"
"5057172821310","Asda","Mediterranean style spiced pitta chips","Mediterranean style spiced pitta chips","","","","","","","","","","","","","","442","100g","kcal","{""en"": ""3""}","{}"
"5057172821327","Asda Extra Special","Houmous & Lime Flavour Pitta Chips","Houmous & Lime Flavour Pitta Chips","","","","","","","","","150g","150","g","","","439","100g","kcal","{""en"": ""3""}","{}"
"5057172824472","Asda","","","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"5057172824533","Asda","Strawberry jam","Strawberry jam","","","","","","","","","","","","","","238","100g","kcal","{""en"": ""3""}","{}"
"5057172824540","Asda","Raspberry conserve","Raspberry conserve","","","","","","","","","","","","100","g","254","100g","kcal","{""en"": ""3""}","{}"
"5057172824557","Asda","Apricot conserve","Apricot conserve","","","","","","","","","370g","370","g","","","263","100g","kcal","{""en"": ""3""}","{}"
"5057172824564","Asda","blackcurrant conserve","blackcurrant conserve","","","","","","","","","","","","","","243","100g","kcal","{""en"": ""3""}","{}"
"5057172824571","ASDA","Morello Cherry conserve","Morello Cherry conserve","","","","","","","","","370g","370","g","","","251","100g","kcal","{""en"": ""3""}","{}"
"5057172824588","Asda","Three Fruits Marmalade","Three Fruits Marmalade","","","","","","","","","","","","10","g","271","100g","kcal","{""en"": ""3""}","{}"
"5057172824595","Asda","","","","","","","","","","","","","","","","","","","{""en"": ""3""}","{}"
"5057172824601","","","","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"5057172824748","","Asda Roarsome Sprinkles","Asda Roarsome Sprinkles","","","","","","","","","","","","","","","","","{}","{""en"": ""8""}"
"5057172824755","","Jazzie sprinkles","Jazzie sprinkles","","","","","","","","","","","","","","392","100g","kcal","{""en"": ""3""}","{}"
"5057172824823","ASDA","Asda instant hot chocolate","Asda instant hot chocolate","","","","Instant hot chocolate drink","Instant hot chocolate drink","","","","375g","375","g","","","47","100g","kcal","{""en"": ""3""}","{}"
"5057172825578","Asda","Lean pork mince","Lean pork mince","","","","","","","","","500 g","500","g","","","164","100g","kcal","{""en"": ""3""}","{}"
"5057172838042","No","No-chicken katsu salad","No-chicken katsu salad","","","","","","","","","","","","","","142","100g","kcal","{""en"": ""3""}","{}"
"5057172838059","Asda","Piri piri chicken salad","Piri piri chicken salad","","","","","","","","","","","","335","g","122","100g","kcal","{}","{}"
"5057172838066","Asda","Chicken teriyaki noodle salad","Chicken teriyaki noodle salad","","","","","","","","","","","","","","131","100g","kcal","{""en"": ""3""}","{}"
"5057172838073","Asda","Plant based Mexican style salad","Plant based Mexican style salad","","","","","","","","","","","","","","110","100g","kcal","{""en"": ""3""}","{}"
"5057172838257","Asda","Sweet chilli chicken snack pot","Sweet chilli chicken snack pot","","","","","","","","","","","","","","237","100g","kcal","{""en"": ""3""}","{}"
"5057172839551","Asda","Apple and elderflower squash","Apple and elderflower squash","","","","","","","","","","","","","","19","100g","kcal","{""en"": ""3""}","{}"
"5057172839674","","","","","","","","","","","","","","","","","","","","{""en"": ""3""}","{}"
"5057172839698","Asda","Fruit & Barley","Fruit & Barley","","","","","","","","","","","","","","2","100g","kcal","{""en"": ""3""}","{}"
"5057172839735","Asda","High juice","High juice","","","","","","","","","","","","","","5","100g","kcal","{""en"": ""3""}","{}"
"5057172845057","","Cooked ham","Cooked ham","","","","","","","","","","","","","","135","100g","kcal","{""en"": ""3""}","{}"
"5057172845064","Asda","Honey roast ham","Honey roast ham","","","","","","","","","","","","","","148","100g","kcal","{""en"": ""3""}","{}"
"5057172845132","","6 coconut king prawns","6 coconut king prawns","","","","","","","","","","","","","","313","100g","kcal","{""en"": ""8""}","{}"
"5057172845149","Asda","6 vegetable tempura nest with sweet chilli dip","6 vegetable tempura nest with sweet chilli dip","","","","","","","","","","","","","","237","100g","kcal","{""en"": ""3""}","{}"
"5057172845156","Asda","Thai Inspired Chicken Meatballs","Thai Inspired Chicken Meatballs","","","","","","","","","","","","190","g","206","100g","kcal","{""en"": ""3""}","{}"
"5057172845163","","Cochujang chicken skewers","Cochujang chicken skewers","","","","","","","","","","","","","","105","100g","kcal","{""en"": ""3""}","{}"
"5057172845170","Asda","4*katsu chicken skewers","4*katsu chicken skewers","","","","","","","","","","","","","","139","100g","kcal","{""en"": ""3""}","{}"
"5057172845194","ASDS","Deli Platter","Deli Platter","","","","","","","","","1pcs","0","","","","","","","{}","{""en"": ""3""}"
"5057172845231","Asda","Masala houmous","Masala houmous","","","","","","","","","","","","","","105","100g","kcal","{""en"": ""3""}","{}"
"5057172845248","Asda","no sour cream & chive","no sour cream & chive","","","","","","","","","","","","","","180","100g","kcal","{""en"": ""3""}","{}"
"5057172845255","Asda","Mini dips","Mini dips","","","","","","","","","","","","","","","","","{}","{}"
"5057172845309","Asda","Spinach and feta parcels","Spinach and feta parcels","","","","","","","","","","","","100","g","285.0","serving","kcal","{""en"": ""3""}","{}"
"5057172845316","Asda","Chicken and Chorizo Empanadas","Chicken and Chorizo Empanadas","","","","","","","","","","","","","","243","100g","kcal","{""en"": ""3""}","{}"
"5057172845347","Asda","Coronation chicken pasties","Coronation chicken pasties","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"5057172845408","Asda","OMV! Vegan No Pork Sausage Rolls","OMV! Vegan No Pork Sausage Rolls","","","","","","","","","","","","60","g","348.3333333333333","serving","kcal","{}","{}"
