"code","brands","product_name","product_name_en","product_name_fr","product_name_de","product_name_it","generic_name","generic_name_en","generic_name_fr","generic_name_it","generic_name_hr","quantity","product_quantity","product_quantity_unit","serving_quantity","serving_quantity_unit","energy_kcal_value","energy_kcal_basis","energy_kcal_unit","image_1","image_2"
"4061461584047","Also","Mini Jalapeño Popper Chicken Kievs","Mini Jalapeño Popper Chicken Kievs","","","","","","","","","","","","100","g","279.0","serving","kcal","{}","{}"
"4061461584108","Milsani","Latte intero","","","","Latte intero","","","","","","","","","","","","","","{}","{""it"": ""3""}"
"4061461584375","","","","","","","","","","","","","","","","","","","","{""en"": ""3""}","{}"
"4061461584535","Ravini,Peter Mertes","Secco trocken","","","Secco trocken","","","","","","","200 ml","200.0","ml","200.0","ml","64","100ml","kcal","{""de"": ""4""}","{}"
"4061461584672","Ravini","Rosato","","","Rosato","","","","","","","200 ml","200","ml","","","","","","{}","{}"
"4061461584696","Friendly Farms","Almond nog","Almond nog","","","","","","","","","","","","120","ml","","","","{}","{""en"": ""6""}"
"4061461584788","Bramwells","Baked Beans in a Rich Tomato Sauce","Baked Beans in a Rich Tomato Sauce","","","","","","","","","","","","100","g","83","100g","kcal","{}","{}"
"4061461584948","finest bakery","Schnitte","","","Schnitte","","","","","","","","","","","","","","","{}","{}"
"4061461585310","Natur aktiv","Bio Plaumen","Bio Plaumen","","","","","","","","","200g","200.0","g","200.0","g","222","100g","kcal","{""en"": ""6""}","{}"
"4061461585600","Aldi, Spezialitäten Wie In Osteuropa","Letscho","","","Letscho","","","","","","","670g","670","g","","","24","100g","kcal","{""de"": ""11""}","{}"
"4061461585617","Alpenschmaus,Meiko-Konservenfabrik","Gurkentopf","","","Gurkentopf","","","","","","","850 g / 1550 g","850","g","","","36","100g","kcal","{""de"": ""17""}","{}"
"4061461586256","Choceur","Milchmäuse Schneebälle - Milchcreme mit Haselnuss","Milch Mouse Scnheebälle Milchcreme Mit Haselnuss","","Milchmäuse Schneebälle - Milchcreme mit Haselnuss","","","","","","","130 g","130.0","g","6.8","g","573","100g","kcal","{""de"": ""4"", ""en"": ""8""}","{}"
"4061461586270","Choceur","Milchmäuse Schneebälle - Milchcreme","","","Milchmäuse Schneebälle - Milchcreme","","","","","","","130g","130","g","","","","","","{""de"": ""5""}","{}"
"4061461586362","","Chips de crevette","","Chips de crevette","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"4061461586522","","Pipe rigate","","Pipe rigate","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"4061461586560","Finest Bakery","Gugelhupf, csokoládés-narancsos","","","","","","","","","","500g","500.0","g","50.0","g","","","","{}","{""hu"": ""7""}"
"4061461586713","Cucina Nobile","Tortiglioni","","Tortiglioni","","","","","","","","1kg","1000","g","","","351","100g","kcal","{""fr"": ""3""}","{}"
"4061461586737","Back Family","Kokos geraspelt","","","Kokos geraspelt","","","","","","","","","","","","664","100g","kcal","{}","{}"
"4061461586768","Aldi,Back Family","Kokos-Raspel","","Kokos Geraspelt","Kokos-Raspel","","","","","","","200g","200","g","","","664","100g","kcal","{""de"": ""48""}","{}"
"4061461587116","Ashfield Grill","Buffalo Chicken Wings","Buffalo Chicken Wings","","","","","","","","","","","","198","g","","","","{""en"": ""4""}","{}"
"4061461587130","Ashfields Grill","Hot Honey Chicken Wings","Hot Honey Chicken Wings","","","","","","","","","","","","190","g","193.1578947368421","serving","kcal","{""en"": ""5""}","{}"
"4061461587147","Aldi - Ashfields Grill","Salt & Chilli Wings","Salt & Chilli Wings","","","","","","","","","","","","100","g","211.0","serving","kcal","{""en"": ""3""}","{}"
"4061461587161","Aldi","Korean BBQ chicken wings","Korean BBQ chicken wings","","","","","","","","","","","","","","228","100g","kcal","{""en"": ""3""}","{}"
"4061461588595","Hofer","Wok Gemüse","","","Wok Gemüse","","","","","","","","","","100","g","45","100g","kcal","{""de"": ""7"", ""tr"": ""4""}","{}"
"4061461588618","All Seasons","Pfannengemüse Feinschmecker","","","Pfannengemüse Feinschmecker","","","","","","","750 g","750","g","150","g","","","","{""de"": ""11""}","{}"
"4061461588632","All Seasons","Pfannengemüse Italienisch","","","Pfannengemüse Italienisch","","","","","","","","","","100","g","","","","{""de"": ""3""}","{}"
"4061461588847","Country Orchard","Apple & Blackcurrant Juice","Apple & Blackcurrant Juice","","","","","","","","","","","","200","ml","","","","{}","{}"
