"code","brands","product_name","product_name_en","product_name_fr","product_name_de","product_name_it","generic_name","generic_name_en","generic_name_fr","generic_name_it","generic_name_hr","quantity","product_quantity","product_quantity_unit","serving_quantity","serving_quantity_unit","energy_kcal_value","energy_kcal_basis","energy_kcal_unit","image_1","image_2"
"3770011247202","La Vieille Mule","La Mule en Barrique Cuvée N°5 sur lit de framboises","","La Mule en Barrique Cuvée N°5 sur lit de framboises","","","","","","","","33 cl","330","ml","","","","","","{""fr"": ""8""}","{}"
"3770011247387","","La Mule en Cueillette","","La Mule en Cueillette","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"3770011247820","","Hop water de la mule","","Hop water de la mule","","","","","","","","","","","","","","","","{""fr"": ""3""}","{}"
"3770011248155","","Graton porc français","","Graton porc français","","","","","","","","250 g","250","g","","","776","100g","kcal","{""fr"": ""3""}","{}"
"3770011268009","","Infusion de Bissap","","Infusion de Bissap","","","","","","","","40 g","40","g","","","364","100g","kcal","{""fr"": ""17""}","{}"
"3770011268061","","Nectar de Mangue José","","Nectar de Mangue José","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"3770011268078","","Nectar ananas victoria","","Nectar ananas victoria","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"3770011268085","","Nectar de goyavier","","Nectar de goyavier","","","","","","","","","","","","","","","","{""fr"": ""3""}","{}"
"3770011268092","","Les vergers de Marie","","Les vergers de Marie","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"3770011268122","Les Verges de Marie","Nectar de fruit de la passion","","Nectar de fruit de la passion","","","","","","","","","","","","","61.5","100g","kcal","{""fr"": ""9""}","{}"
"3770011268139","","Les vergers de marie nectar de citron","","Les vergers de marie nectar de citron","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"3770011268146","","Nectar de pitaya","","Nectar de pitaya","","","","","","","","","","","","","","","","{}","{""fr"": ""8""}"
"3770011268153","","Nectar letchi","","Nectar letchi","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"3770011268160","Les Verges de Marie","Nectar de pêche","","Nectar de pêche","","","","","","","","","","","","","50.55","100g","kcal","{""fr"": ""9""}","{}"
"3770011268184","","Les vergers de Marie","","Les vergers de Marie","","","","","","","","","","","","","51.8","100g","kcal","{""fr"": ""3""}","{}"
"3770011268191","","Les vergers de Marie","","Les vergers de Marie","","","","","","","","","","","","","59.5","100g","kcal","{""fr"": ""3""}","{}"
"3770011268214","","100% pur jus de Canne à Sucre","","100% pur jus de Canne à Sucre","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"3770011268252","","Les Verger de marie","","Les Verger de marie","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"3770011268269","","Nectar corossol","","Nectar corossol","","","","","","","","","","","","","","","","{}","{""fr"": ""8""}"
"3770011268320","","Nectar de goyavier","Nectar de goyavier","","","","","","","","","","","","100","g","56.07","100g","kcal","{}","{}"
"3770011268337","","Nectar de letchi","","Nectar de letchi","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"3770011268344","","Nectar de Mangue José","","Nectar de Mangue José","","","","","","","","","","","","","53.61","100g","kcal","{""fr"": ""3""}","{}"
"3770011268368","","Nectar de fruit de la passion","","Nectar de fruit de la passion","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"3770011268405","","","","","","","","","","","","","","","","","","","","{}","{""en"": ""3""}"
"3770011268467","","Confiture de papaye","","Confiture de papaye","","","","","","","","250 g","250","g","","","240","100g","kcal","{""fr"": ""3""}","{}"
"3770011268498","","Confiture de Goyavier","","Confiture de Goyavier","","","","","","","","","","","","","246","100g","kcal","{""fr"": ""15""}","{}"
"3770011268504","Les vergers de Marie","Confiture De Pitaya","","","","","","","","","","","","","100","g","244.0","serving","kcal","{""es"": ""3""}","{}"
"3770011268528","","Confiture ananas victoria","","Confiture ananas victoria","","","","","","","","","","","","","248","100g","kcal","{""fr"": ""3""}","{}"
"3770011268542","Les délices de Marie","Pâte à tartiner Noix de cajou","Pâte à tartiner Noix de cajou","","","","","","","","","","","","250","g","557","100g","kcal","{""en"": ""3""}","{}"
