product_index,code,brands,name_candidates,product_quantity,product_quantity_unit,package_quantity,package_quantity_unit,serving_quantity,serving_quantity_unit,nutrition_basis_unit,nutrition,image_1,image_2
3885621,8711596595000,,"[""A.Vogel Pollinosan Hooikoorts Neusspray""]",,,,,,,,,{},{}
3885622,8711596595024,,"[""A.Vogel Oorhygiëne Oordruppels""]",20,ml,20.0,ml,,,,,"{""nl"": ""3""}",{}
3885623,8711596595888,,"[""A.Vogel Extra Hydratatie Ooggel""]",10,ml,10.0,ml,,,,,"{""nl"": ""3""}",{}
3885624,8711596595949,,"[""A.Vogel Ontstoken Ogen Oogdruppels""]",10,ml,10.0,ml,,,,,"{""nl"": ""3""}",{}
3885625,8711596596762,,"[""A.Vogel Nachtrust Sticks""]",,,,,,,,,"{""nl"": ""3""}",{}
3885626,8711596596793,,"[""A.Vogel 3-in-1 Nachtrust Tabletten""]",,,,,,,,,{},{}
3885627,8711596597417,,"[""A. Vogel Bijholteontsteking Neusspray""]",50,ml,50.0,ml,,,,,"{""nl"": ""3""}",{}
3885628,8711596597813,,"[""A.Vogel Oorsmeer Oorspray""]",,,,,,,,,{},{}
3885629,8711596598063,,"[""A.Vogel Neusspray Bijholteontsteking bij Eerste Symptomen""]",,,,,,,,,{},{}
3885630,8711600285279,Rexona,"[""Rexona motion sense cotton dry""]",150,ml,150.0,ml,,,,,{},"{""es"": ""4""}"
3885631,8711600323520,Impulse,"[""Very PINK Body Fragrance""]",,,,,,,,,{},{}
3885632,8711600339774,Comfort,"[""Sunshiny Days Conditioner""]",,,,,,,,,{},{}
3885633,8711600350076,Sure,"[""Sure MotionSense Bright Bouquet Anti-perspirant""]",,,,,,,,,{},{}
3885634,8711600368804,Dove,"[""Essential care lotion""]",400,ml,400.0,ml,,,,,{},"{""en"": ""5""}"
3885635,8711600372191,,"[""Tavoletta""]",,,,,,,g,"{""0"": 535.0, ""1"": 31.0, ""2"": 19.0, ""3"": 57.0, ""4"": 55.0, ""6"": 7.0, ""7"": 0.26, ""8"": 104000.0}","{""it"": ""3""}",{}
3885636,8711600447646,cif,"[""Cif Bathroom""]",500,ml,500.0,ml,,,,,"{""ro"": ""3""}",{}
3885637,8711600484979,,"[""Protein cream""]",,,,,,,g,"{""0"": 549.0, ""1"": 37.0, ""2"": 8.4, ""3"": 33.0, ""4"": 7.4, ""6"": 21.0, ""7"": 0.2, ""8"": 80000.0}","{""fr"": ""4""}",{}
3885638,8711600504141,Rexona,"[""Rexona Stick Anti-Transpirant Maximum Protection Confidence 45ml"", ""Déodorant Anti Transpirant""]",45,ml,45.0,ml,,,,,{},"{""fr"": ""31""}"
3885639,8711600533806,Dove,"[""Men   Care Invisible Dry""]",250,,250.0,ml,,,,,{},"{""en"": ""11""}"
3885640,8711600604339,Andrelon,"[""Andrélon Styling Verrassend Volume Mousse"", ""Met Andrélon Classic Verrassend Volume Styling Haarmousse valt je haar vol en luchtig en heeft langdurig volume. De mousse geeft natuurlijke versteviging aan je haar.""]",200,ml,200.0,ml,,,,,"{""nl"": ""3""}",{}
3885641,8711600604445,,"[""Andrélon Styling Fantastische Fixatie Mousse"", ""Geef je haar de hele dag extra versteviging en volume met de Andrélon Fantastische Fixatie Haarmousse. De mousse beschermt je haar ook tegen de hitte van de föhn.""]",200,ml,200.0,ml,,,,,"{""nl"": ""3""}",{}
3885642,8711600604544,,"[""Andrélon Styling Perfecte Krul Mousse"", ""Gebruik de Andrélon Classic Perfecte Krul Styling Haarmousse voor extra versteviging van je krullen.""]",200,ml,200.0,ml,,,,,"{""nl"": ""3""}",{}
3885643,8711600629691,,"[""Lysoform 1,0 l""]",0,,,,,,,,{},{}
3885644,8711600723900,Toni & Guy,"[""Brushable Volume Hairspray""]",,,,,,,,,{},{}
3885645,8711600724457,Dove,"[""Bodylotion""]",0,,,,,,,,{},{}
3885646,8711600765672,Motion sensé,"[""Rexona""]",150,ml,150.0,ml,,,,,{},"{""fr"": ""3""}"
3885647,8711600776531,,"[""Duschgel men""]",0,,,,,,,,{},{}
3885648,8711600786257,dove,"[""go fresh""]",250,,250.0,ml,,,,,{},"{""en"": ""19"", ""fr"": ""20""}"
3885649,8711600789760,dusch das,"[""Schutz & Hygiene Handseife""]",500,ml,500.0,ml,,,,,"{""de"": ""3""}",{}
3885650,8711600830929,Sure,"[""Sure Max Sensitive""]",,,,,,,,,{},{}
3885651,8711600839403,,"[""አሚና ሙሀመድ""]",,,,,,,,,{},{}
3885652,8711600937550,Unilever,[],300,ml,300.0,ml,,,,,"{""es"": ""7""}",{}
3885653,8711600945661,Williams,"[""Ice Blue""]",75,ml,75.0,ml,,,,,"{""es"": ""3""}",{}
3885654,8711600972285,,"[""Zwitsal Eau de Zwitsal"", ""Zwitsal  Baby Eau De Zwitsal biedt dagelijks een vleugje pure zachtheid met de vertrouwde geur van Zwitsal.""]",95,ml,95.0,ml,,,,,"{""nl"": ""3""}",{}
3885655,8711600985797,Unilever Norge AS,"[""Tannbørste 0-5 år assortert variant, 1 stk""]",,,,,,,,,{},"{""en"": ""6""}"
3885656,8711600992368,,"[""Zahnpasta""]",,,,,,,,,{},{}
3885657,8711601104029,,"[""Kaneelstok""]",,,,,,,,,{},"{""nl"": ""6""}"
3885658,8711601105392,,"[""Lolli""]",,,,,,,,,{},"{""de"": ""3""}"
3885659,8711601105668,Sweetz,"[""Sucette""]",,,,,,,g,"{""0"": 384.0, ""1"": 0.0, ""2"": 0.0, ""3"": 96.0, ""4"": 85.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""4""}",{}
3885660,8711601106382,,"[""Sucette tortillon""]",,,,,,,g,"{""0"": 398.4, ""1"": 0.0, ""2"": 0.0, ""3"": 99.6, ""4"": 89.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
3885661,8711601106481,,"[""Sweetz Spiral Lolly 50G""]",,,,,,,,,{},"{""fr"": ""3""}"
3885662,8711601997072,Holland Foodz,"[""Kaneelstokjes""]",110,g,110.0,g,20.0,g,g,"{""0"": 372.0, ""1"": 0.0, ""2"": 0.0, ""3"": 90.0, ""4"": 90.0, ""6"": 0.0, ""7"": 0.003, ""8"": 1200.0}","{""nl"": ""9""}",{}
3885663,8711603352329,,"[""Sense Of Spa Geschenkset""]",,,,,,,,,"{""nl"": ""3""}",{}
3885664,8711603352350,,"[""Sense Of Nature Geschenkset""]",,,,,,,,,"{""nl"": ""3""}",{}
3885665,8711603352398,,"[""Sense Of Spa For Men Geschenkset""]",,,,,,,,,"{""nl"": ""3""}",{}
3885666,8711603452265,,"[""Trekpleister Stelspiegel""]",,,,,,,,,{},{}
3885667,8711611100851,,"[""Squeezer Cola""]",,,,,,,,,{},"{""fr"": ""7"", ""en"": ""8""}"
3885668,8711611101506,,"[""Fusée""]",,,,,,,g,"{""0"": 83.0, ""1"": 0.0, ""2"": 0.0, ""3"": 20.0, ""4"": 19.0, ""5"": 0.5, ""6"": 0.5, ""7"": 0.1, ""8"": 40000.0}","{""fr"": ""3""}",{}
3885669,8711611200223,,"[""Water ice for kids""]",,,,,,,g,"{""0"": 73.6, ""1"": 0.0, ""2"": 0.0, ""3"": 18.4, ""4"": 18.4, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""7""}",{}
3885670,8711611200513,,"[""Shuffle Orange X5 90ml""]",425,g,425.0,g,,,g,"{""0"": 81.8, ""1"": 0.0, ""2"": 0.0, ""3"": 20.3, ""4"": 20.3, ""5"": 0.1, ""6"": 0.1}","{""fr"": ""3""}",{}
3885671,8711611200742,,"[""Ghiacciolo beluga""]",,,,,,,,,{},{}
3885672,8711611200919,,"[""Spacerunner Fruchteis""]",360,,360.0,ml,,,g,"{""0"": 94.0, ""1"": 0.0, ""2"": 0.0, ""3"": 23.4, ""4"": 23.4, ""6"": 0.1, ""7"": 0.0, ""8"": 0.0}",{},"{""fr"": ""3""}"
3885673,8711611201022,Dedert,"[""Shuffle orange - The original popsictes""]",,,,,,,g,"{""0"": 81.0, ""1"": 0.0, ""2"": 0.0, ""3"": 20.2, ""4"": 20.2, ""5"": 0.1, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""4""}",{}
3885674,8711611201442,Toupargel,"[""4 spirales multifruits""]",280,ml,280.0,ml,,,ml,"{""0"": 82.0, ""1"": 0.0, ""2"": 0.0, ""3"": 20.0, ""4"": 20.0, ""6"": 0.5, ""7"": 0.01, ""8"": 4000.0}","{""fr"": ""4""}",{}
3885675,8711611201459,Toupargel,"[""Mini fusées""]",150,ml,150.0,ml,,,ml,"{""0"": 82.0, ""1"": 0.0, ""2"": 0.0, ""3"": 20.0, ""4"": 20.0, ""6"": 0.5, ""7"": 0.03, ""8"": 12000.0}","{""fr"": ""4""}",{}
3885676,8711611201787,,"[""Sorbet""]",,,,,,,g,"{""0"": 86.80000000000001, ""1"": 0.0, ""2"": 0.0, ""3"": 21.6, ""4"": 21.5, ""6"": 0.1, ""7"": 0.013, ""8"": 5200.0}","{""fr"": ""3""}",{}
3885677,8711611201794,Bio Eis,"[""Fruchteis 3×2""]",350,g,350.0,g,,,g,"{""0"": 86.0, ""1"": 0.0, ""2"": 0.0, ""3"": 21.0, ""4"": 20.0, ""6"": 0.5}","{""de"": ""5""}",{}
3885678,8711611201879,,"[""Shuffle""]",,,,,,,,,{},"{""de"": ""3""}"
3885679,8711611201961,,"[""Spacerunners""]",480,g,480.0,g,,,,,{},"{""de"": ""3""}"
3885680,8711611542019,,"[""Glace rainbow 4 fruits""]",240,g,240.0,g,,,g,"{""0"": 82.0, ""1"": 0.0, ""2"": 0.0, ""3"": 20.0, ""4"": 20.0, ""6"": 0.5, ""7"": 0.01, ""8"": 4000.0}","{""fr"": ""4""}",{}
3885681,8711611968505,,"[""Fruity lollies""]",550,ml,550.0,ml,,,ml,"{""0"": 66.4, ""1"": 0.0, ""2"": 0.0, ""3"": 16.6, ""4"": 16.6, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
3885682,8711611979204,,"[""Spacerunners""]",480,g,480.0,g,,,g,"{""0"": 73.6, ""1"": 0.0, ""2"": 0.0, ""3"": 18.4, ""4"": 18.4, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
3885683,8711611979211,,"[""10 Glaces a L'eau Fusee""]",,,,,,,g,"{""0"": 74.0, ""1"": 0.0, ""2"": 0.0, ""3"": 18.5, ""4"": 18.5, ""6"": 0.0}",{},{}
3885684,8711611990018,,"[""Bio Eis Erdbeer""]",,,,,,,g,"{""0"": 85.60000000000001, ""1"": 0.0, ""2"": 0.0, ""3"": 21.3, ""4"": 20.3, ""6"": 0.1}","{""de"": ""6""}",{}
3885685,8711627846019,Cup a soup,"[""Chinese kip""]",,,,,100.0,g,g,"{""0"": 40.0, ""1"": 0.5, ""2"": 0.100000001490116, ""3"": 7.80000019073486, ""4"": 2.20000004768372, ""5"": 0.5, ""6"": 1.10000002384186}",{},"{""nl"": ""3""}"
3885686,8711642008621,Ja!,"[""Cornichons süß sauer""]",,,,,100.0,g,g,"{""0"": 42.0, ""1"": 0.20000000298023224, ""2"": 0.10000000149011612, ""3"": 7.400000095367432, ""4"": 1.100000023841858, ""6"": 1.100000023841858}",{},"{""en"": ""3""}"
3885687,8711642010495,Boehringer,"[""Jardiance""]",0,,,,,,,,{},"{""de"": ""4""}"
3885688,8711642012659,,"[""Seraquin omega""]",,,,,,,,,"{""fr"": ""3""}",{}
3885689,8711642015926,Boehringer Ingelheim,"[""Vermelding Chew""]",0.005,g,0.005,g,0.005,g,,,{},"{""nl"": ""4""}"
3885690,8711648071148,,"[""Marinade viande""]",,,,,,,,,{},"{""fr"": ""4""}"
3885691,8711653003684,,"[""Cranberry oat cookies""]",,,,,,,g,"{""0"": 404.0, ""1"": 18.8, ""2"": 10.9, ""3"": 52.9, ""4"": 32.2, ""6"": 5.8, ""7"": 0.4, ""8"": 160000.0}","{""fr"": ""4""}",{}
3885692,8711654003812,,"[""Spekkoek pandan""]",,,,,,,g,"{""0"": 437.0, ""1"": 32.0, ""2"": 15.0, ""3"": 31.0, ""4"": 20.0, ""6"": 6.3, ""7"": 0.53, ""8"": 212000.00000000003}",{},"{""nl"": ""3""}"
