"code","brands","product_name","product_name_en","product_name_fr","product_name_de","product_name_it","generic_name","generic_name_en","generic_name_fr","generic_name_it","generic_name_hr","quantity","product_quantity","product_quantity_unit","serving_quantity","serving_quantity_unit","energy_kcal_value","energy_kcal_basis","energy_kcal_unit","image_1","image_2"
"2153685004752","La Coupe","Wyländer Anschnitte / Rebibes","","","Wyländer Anschnitte / Rebibes","","","","","","","","","","","","","","","{}","{""de"": ""4""}"
"2153688015205","M Classic","Cordon bleu de cou de porc pané","Cordon bleu de cou de porc pané","Cordon bleu de cou de porc pané","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153692004561","","Filete cortado","","","","","","","","","","","","","","","","","","{}","{""es"": ""3""}"
"2153700002169","","Gorgonzola e mascarpone","","","","Gorgonzola e mascarpone","","","","","","","","","","","","","","{}","{""it"": ""3""}"
"2153700003401","","Mauri","","","","Mauri","","","","","","","","","","","","","","{}","{""it"": ""3""}"
"2153712000580","","Viande hachée de boeuf","Viande hachée de boeuf","","","","","","","","","","","","100","g","","","","{}","{}"
"2153712003352","","Viande hachée","Viande hachée","","","","","","","","","","","","200","","","","","{}","{}"
"2153712003956","Micarna","Viande Hachée de bœuf","","Viande Hachée de bœuf","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153712004755","","Rindhackfleisch","","Rindhackfleisch","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153712005356","","Viande hachée de boeuf","","Viande hachée de boeuf","","","","","","","","","","","","","186","100g","kcal","{""fr"": ""3""}","{}"
"2153712005455","Hackflusch","Hackfleisch","","","Hackfleisch","","","","","","","1pcs","","","286","g","187.99999999999997","serving","kcal","{}","{}"
"2153712005509","Migros","Viande Hachée De BOEUF","","Viande Hachée De BOEUF","","","","","","","","","","","","","","","","{}","{}"
"2153712005608","Migros","Viand Hachée De Boeuf","","Viand Hachée De Boeuf","","","","","","","","","","","","","","","","{}","{}"
"2153712005653","Migros","Viande hachée de boeuf","","Viande hachée de boeuf","Rindshackfleisch","","Viande hachée de boeuf, à consommer cuite","","Viande hachée de boeuf, à consommer cuite","","","298 g","298","g","","","","","","{}","{""de"": ""7"", ""fr"": ""16""}"
"2153712005707","","Viande hachée de bœuf","","Viande hachée de bœuf","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153712005851","Migros","Ip Suisse Viande Hachée Bœuf","","Ip Suisse Viande Hachée Bœuf","","","","","","","","","","","100","g","","","","{}","{}"
"2153712006056","Migros","Viande Hachée De Bœuf IP-Suisse","","Viande Hachée De Bœuf IP-Suisse","","","","","","","","","","","","","","","","{}","{}"
"2153712006100","","","","Viande hachée de bœuf","Hackfleisch rind","","","","","","","","","","","","","","","{""en"": ""3""}","{}"
"2153712006209","MIGROS","Hackfleisch Viande hachée","Hackfleisch Viande hachée","","Hackfleisch Rind","","","","","","","310g","310.0","g","75.0","g","188","100g","kcal","{""en"": ""4""}","{}"
"2153712006308","","Macinata","","Macinata","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153712006506","","Viande hachée de boeuf","","Viande hachée de boeuf","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153712006551","Migros","Viande Hachée Ip Suisse","","Viande Hachée Ip Suisse","","","","","","","","","","","100","g","238","100g","kcal","{""fr"": ""3""}","{}"
"2153712007008","Migros","Viande hachée","Viande hachée","","","","","","","","","","","","100","g","","","","{}","{}"
"2153719740410","Nestlé","L’atelier - Noisettes entières torréfiées","","L’atelier - Noisettes entières torréfiées","","","","","","","","","","","","","","","","{}","{}"
"2153720003306","Fleischerei Baehr","Gehacktes gegart","","","Gehacktes gegart","","","","","","","200g","200","g","","","241","100g","kcal","{""de"": ""3""}","{}"
"2153720005287","","Pecorino pienza rosso","","","","Pecorino pienza rosso","","","","","","","","","","","","","","{}","{""it"": ""3""}"
"2153730005802","","Hinterschinken Vivaldi","","Hinterschinken Vivaldi","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153731003852","","Nusskäse","","","Nusskäse","","","","","","","138g","138","g","","","","","","{}","{}"
"2153731004309","","Fromage fondu aux noix","","Fromage fondu aux noix","","","","","","","","","","","","","","","","{}","{""fr"": ""10""}"
"2153731004354","","Fromage fondu aux noix","","Fromage fondu aux noix","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153731004606","","Fromage aux noix","","Fromage aux noix","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153731004651","Migros","Fromage aux noix","Fromage aux noix","","","","","","","","","","","","155","g","","","","{}","{""en"": ""3""}"
"2153760001102","PLUS","Korenlanders 1/2 Volkoren zonne Extra vezelrijk (cat.4)","Korenlanders 1/2 Volkoren zonne Extra vezelrijk (cat.4)","","","","","","","","","","","","","","","","","{}","{}"
"2153761001255","Plus","Korenlanders","Korenlanders","","","","","","","","","","","","100","g","","","","{}","{}"
"2153775002293","Korenlanders","Rond volkoren","volkorenbrood","","","","Volkorentarwebrood","","","","","","","","","","","","","{}","{""nl"": ""8""}"
"2153777003106","","Hachereau d'agneau","","Hachereau d'agneau","","","","","","","","","","","","","219","100g","kcal","{""fr"": ""4""}","{}"
"2153781004502","","Vacherin Fribourgeois","","Vacherin Fribourgeois","","","","","","","","","","","","","","","","{}","{}"
"2153781004656","Migros Bio","Vacherin Fribourgeois Corsé","","Vacherin Fribourgeois Corsé","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153781004854","","Vacherin Fribourgeois","","Vacherin Fribourgeois","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153781005400","","Vacherin Fribourgeois bio","","Vacherin Fribourgeois bio","","","","","","","","","","","","","","","","{}","{""fr"": ""3""}"
"2153781005554","","Vacherin Fribourgeois","","Vacherin Fribourgeois","","","","","","","","","","","","","366","100g","kcal","{""fr"": ""4""}","{}"
