product_index,code,brands,name_candidates,product_quantity,product_quantity_unit,package_quantity,package_quantity_unit,serving_quantity,serving_quantity_unit,nutrition_basis_unit,nutrition,image_1,image_2
3421036,8007270127019,,"[""olive oil""]",500,ml,500.0,ml,,,,,{},{}
3421037,8007270127026,Costa d'Oro,"[""Oliwa z oliwek najwyższej jakości z pierwszego tłoczenia""]",1000.0,ml,1000.0,ml,100.0,g,ml,"{""0"": 819.0, ""1"": 91.0, ""2"": 15.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""en"": ""3""}",{}
3421038,8007270127064,Costa d'Oro,[],500,ml,500.0,ml,,,,,"{""ro"": ""3""}",{}
3421039,8007270127071,Costa d'Oro,[],500,ml,500.0,ml,,,,,{},"{""pl"": ""5""}"
3421040,8007270127170,costa d'oro,"[""l'integrale olio evo estratto a freddo""]",2000,ml,2000.0,ml,,,ml,"{""0"": 819.0, ""1"": 91.0, ""2"": 15.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""it"": ""4""}",{}
3421041,8007270127248,Costa d'Oro,"[""Extra virgin olive oil""]",,,,,,,g,"{""0"": 819.0, ""1"": 91.0, ""2"": 14.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""6""}",{}
3421042,8007270127255,"Costa d'oro, Costad'oro","[""COSTA D'ORO VITAPIÙ 5 OLI""]",,,,,30.0,ml,ml,"{""0"": 828.0, ""1"": 92.0, ""2"": 9.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 170.0, ""11"": 7000000.0, ""12"": 8350000.0, ""13"": 2300000.0, ""14"": 2000000.0, ""15"": 4000000.0, ""16"": 170.0, ""17"": 310.0, ""18"": 8375000.0, ""19"": 2349999.9999999995, ""20"": 0.0, ""21"": 0.0, ""22"": 0.0, ""23"": 0.0, ""24"": 0.0, ""25"": 0.0, ""26"": 1040000.0, ""27"": 46000.0, ""29"": 0.0, ""30"": 0.0, ""31"": 0.0}","{""it"": ""15""}",{}
3421043,8007270127262,Costa d'Oro,"[""Olio Extra Vergine di Oliva""]",250,ml,250.0,ml,,,ml,"{""0"": 819.0, ""1"": 91.0, ""2"": 14.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""fr"": ""8""}",{}
3421044,8007270127279,Costa d'Oro,"[""Huile d'olives vierge extra""]",,,,,,,g,"{""0"": 819.0, ""1"": 91.0, ""2"": 14.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0}","{""fr"": ""4""}",{}
3421045,8007270127538,Costa d'Oro,"[""Costa d'oro""]",,,,,,,g,"{""0"": 819.0, ""1"": 91.0, ""2"": 14.0, ""3"": 0.0, ""4"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""it"": ""3""}",{}
