product_index,code,brands,name_candidates,product_quantity,product_quantity_unit,package_quantity,package_quantity_unit,serving_quantity,serving_quantity_unit,nutrition_basis_unit,nutrition,image_1,image_2
1478226,2480990023681,,"[""Caprin""]",,,,,,,g,"{""0"": 259.4, ""1"": 21.0, ""2"": 14.0, ""3"": 2.6, ""4"": 1.2, ""5"": 0.0, ""6"": 15.0, ""7"": 0.9, ""8"": 360000.0}","{""fr"": ""7""}",{}
1478227,2480990024800,,"[""Le grand caprin""]",,,,,,,,,"{""fr"": ""3""}",{}
1478228,2480990024992,,"[""Le grand Caprin""]",,,,,218.0,g,g,"{""0"": 259.4, ""1"": 21.0, ""2"": 14.0, ""3"": 2.6, ""4"": 1.7, ""6"": 15.0}",{},{}
1478229,2480990025067,,"[""Fromage""]",,,,,,,g,"{""0"": 259.4, ""1"": 21.0, ""2"": 14.0, ""3"": 2.6, ""4"": 1.7, ""6"": 15.0, ""7"": 0.9, ""8"": 360000.0}","{""fr"": ""3""}",{}
1478230,2480990025913,,"[""Chèvre frais""]",,,,,100.0,g,g,"{""0"": 259.3999996185303, ""1"": 21.0, ""2"": 14.0, ""3"": 2.59999990463257, ""4"": 1.70000004768372, ""6"": 15.0}",{},{}
1478231,2480996042570,,"[""Sait-néctaire AOP FERMIERS AFFINE PAILLES""]",,,,,,,,,{},"{""fr"": ""3""}"
1478232,2480996045724,,"[""Fromage""]",,,,,,,g,"{""0"": 344.0, ""1"": 28.0, ""2"": 20.0, ""3"": 1.0, ""4"": 0.5, ""6"": 22.0, ""7"": 1.2, ""8"": 480000.0}","{""fr"": ""3""}",{}
1478233,2480997013258,,"[""Beurre Motte AOP""]",,,,,,,,,{},"{""fr"": ""3""}"
1478234,2480997015221,,"[""Beurre motte""]",,,,,,,,,{},"{""fr"": ""3""}"
1478235,2480997016990,,"[""Beurre""]",,,,,,,g,"{""0"": 751.4, ""1"": 83.0, ""2"": 55.0, ""3"": 0.5, ""4"": 0.5, ""6"": 0.6}","{""fr"": ""3""}",{}
1478236,2480997017058,,"[""Beurre Motte AOP""]",,,,,,,g,"{""7"": 0.0, ""8"": 0.0}","{""fr"": ""3""}",{}
1478237,2480997019748,,"[""Beurre doux""]",,,,,,,g,"{""0"": 751.56, ""1"": 83.0, ""2"": 55.0, ""3"": 0.5, ""4"": 0.5, ""5"": 0.0, ""6"": 0.64}","{""fr"": ""3""}",{}
1478238,2480997020737,Beurre Motte,"[""Coopérative de Pamplie""]",,,,,,,,,{},{}
1478239,2480997023028,,"[""Beurre doux""]",,,,,,,g,"{""0"": 751.4, ""1"": 83.0, ""2"": 83.0, ""3"": 0.5, ""4"": 0.0, ""5"": 0.0, ""6"": 0.6}","{""fr"": ""3""}",{}
1478240,2480997032549,grand frais,"[""beurre motte AOP""]",,,,,,,,,"{""fr"": ""4""}",{}
1478241,2481003031495,,"[""Parmigiano Reggiano de montagne 24 mois""]",,,,,,,g,"{""0"": 398.0, ""1"": 30.0, ""2"": 20.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 32.0, ""7"": 1.4, ""8"": 560000.0}","{""fr"": ""3""}",{}
1478242,2481003038968,,"[""Parmesan""]",,,,,,,g,"{""0"": 398.0, ""1"": 30.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 32.0, ""7"": 1.4, ""8"": 560000.0}","{""fr"": ""3""}",{}
