product_index,code,brands,name_candidates,product_quantity,product_quantity_unit,package_quantity,package_quantity_unit,serving_quantity,serving_quantity_unit,nutrition_basis_unit,nutrition,image_1,image_2
3505506,8030582020679,Primia,"[""Misto""]",200,g,200.0,g,,,g,"{""0"": 505.4, ""1"": 32.0, ""2"": 3.8, ""3"": 37.0, ""4"": 29.0, ""5"": 6.7, ""6"": 14.0, ""7"": 0.03, ""8"": 12000.0, ""9"": 83883.9285714286, ""11"": 1882.0982142857101, ""12"": 1667410.71428571, ""13"": 4212.8571428571395, ""14"": 233218.75, ""15"": 1783.74107142857, ""16"": 442397.321428571, ""17"": 592665.178571429, ""18"": 3278571.42857143, ""19"": 4130.9375, ""20"": 0.0, ""21"": 6875892.85714286, ""22"": 170.625, ""23"": 148.517857142857, ""24"": 0.0, ""25"": 569.642857142857, ""26"": 1392857.14285714, ""27"": 5632.72321428571, ""29"": 2223214.28571429, ""30"": 805.982142857143, ""31"": 184.017857142857, ""33"": 14594.6428571429}","{""it"": ""3""}",{}
3505507,8030582020686,Primia,[],200,g,200.0,g,,,,,{},"{""it"": ""3""}"
3505508,8030582020693,Primia,"[""Pistacchio variegato al gianduia""]",200.0,g,200.0,g,50.0,g,g,"{""0"": 184.8, ""1"": 7.0, ""2"": 4.5, ""3"": 28.0, ""4"": 26.0, ""5"": 0.5, ""6"": 2.2, ""7"": 0.05, ""8"": 20000.0, ""9"": 58507.1844736842, ""11"": 4679217.105263161, ""12"": 1091650.0, ""13"": 156.82965789473698, ""14"": 8863.64763157895, ""15"": 3891605.21052632, ""16"": 55985.2631578947, ""17"": 99810.487368421, ""18"": 2696667.63157895, ""19"": 252.81247368421, ""20"": 7659621.05263158, ""21"": 4034357.89473684, ""22"": 8802234.21052631, ""23"": 5533389.473684209, ""24"": 2108547.36842105, ""25"": 652.650526315789, ""26"": 3227368.42105263, ""27"": 809.8223157894739, ""29"": 3530947.36842105, ""30"": 7794905.26315789, ""31"": 169.19368421052602}","{""it"": ""3""}",{}
3505509,8030582020709,Primia,"[""Panna cotta variegata al caramello""]",200.0,g,200.0,g,50.0,g,g,"{""0"": 195.8, ""1"": 6.0, ""2"": 5.0, ""3"": 33.0, ""4"": 32.0, ""5"": 0.5, ""6"": 2.2, ""7"": 0.11, ""8"": 44000.0}","{""it"": ""4""}",{}
3505510,8030582020730,Primia,"[""Confettura albicocca""]",625,g,625.0,g,,,g,"{""0"": 197.2, ""1"": 0.0, ""2"": 0.0, ""3"": 49.0, ""4"": 45.0, ""5"": 0.6, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""it"": ""3""}",{}
3505511,8030582020747,Primaria,"[""Confettura Pesca""]",,,,,100.0,g,g,"{""0"": 202.0, ""3"": 49.0, ""4"": 45.0, ""5"": 0.600000023841858}",{},{}
3505512,8030582020754,Primia,"[""Confettura fragole""]",,,,,,,g,"{""0"": 198.4, ""1"": 0.0, ""2"": 0.0, ""3"": 49.0, ""4"": 44.0, ""5"": 1.2, ""6"": 0.0}",{},{}
3505513,8030582020778,Primia,"[""Composta Di Albicocche""]",,,,,,,g,"{""0"": 150.0, ""1"": 0.0, ""2"": 0.0, ""3"": 37.0, ""4"": 37.0, ""6"": 0.5, ""7"": 0.0, ""8"": 0.0}",{},{}
3505514,8030582020785,Primia,"[""Fragola - Primia"", ""Marmellata Di Fragole""]",,,,,100.0,g,g,"{""0"": 150.0, ""1"": 0.0, ""2"": 0.0, ""3"": 36.0, ""4"": 36.0, ""5"": 2.0, ""6"": 0.5, ""7"": 0.0, ""8"": 0.0}",{},{}
3505515,8030582020792,Primia,"[""Marmellata di ciliegia""]",,,,,100.0,g,g,"{""0"": 154.0, ""3"": 37.0, ""4"": 37.0, ""5"": 1.0, ""6"": 0.5}","{""en"": ""3""}",{}
3505516,8030582020815,Primia,"[""Gelato Panna""]",,,,,,,,,{},{}
3505517,8030582020839,Primia,"[""Ghiaccioli al limone""]",420.0,g,420.0,g,70.0,g,g,"{""0"": 76.0, ""1"": 0.0, ""2"": 0.0, ""3"": 19.0, ""4"": 18.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 6462.7, ""11"": 1673750.0, ""12"": 4014999.9999999995, ""13"": 5073500.0, ""14"": 1914.5, ""15"": 4539000.0, ""16"": 1174.5, ""17"": 15822.25, ""18"": 1506500.0, ""19"": 1822500.0, ""20"": 0.0, ""21"": 5330000.0, ""22"": 4115000.0, ""23"": 5590000.0, ""24"": 0.0, ""25"": 3224.0, ""26"": 0.0, ""27"": 1950000.0, ""29"": 1300000.0, ""30"": 2600000.0, ""31"": 1183000.0}","{""it"": ""22""}",{}
3505518,8030582020846,,"[""Ghiaccioli al gusto menta""]",420,g,420.0,g,,,g,"{""0"": 77.39999999999999, ""1"": 0.0, ""2"": 0.0, ""3"": 19.2, ""4"": 18.3, ""5"": 0.3, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""it"": ""3""}",{}
3505519,8030582020938,Primia,"[""Confettura extra fragole""]",,,,,,,g,"{""0"": 175.0, ""1"": 0.0, ""2"": 0.0, ""3"": 43.0, ""4"": 43.0, ""5"": 1.5, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""it"": ""3""}",{}
3505520,8030582020945,Primia,"[""Confettura extra ciliegie primia"", ""Confettura Ciliegie""]",,,,,330.0,g,g,"{""0"": 176.0, ""1"": 0.0, ""3"": 44.0, ""4"": 44.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}",{},{}
3505521,8030582020952,,"[""Confettura albicocche""]",,,,,100.0,g,g,"{""0"": 182.0, ""3"": 44.0, ""4"": 44.0, ""5"": 0.9}",{},{}
3505522,8030582020976,Primia,"[""Marroni crema""]",350,g,350.0,g,,,g,"{""0"": 235.8, ""1"": 0.0, ""2"": 0.0, ""3"": 56.0, ""4"": 40.0, ""5"": 3.7, ""6"": 1.1, ""7"": 0.0, ""8"": 0.0}","{""de"": ""3"", ""it"": ""21""}",{}
