product_index,code,brands,name_candidates,product_quantity,product_quantity_unit,package_quantity,package_quantity_unit,serving_quantity,serving_quantity_unit,nutrition_basis_unit,nutrition,image_1,image_2
3801151,8480000667588,Steinburg,"[""Sin"", ""Cerveza sin alcohol""]",1000,ml,1000.0,ml,,,ml,"{""0"": 26.009999999999998, ""1"": 0.05, ""2"": 0.0, ""3"": 4.26, ""4"": 1.2, ""6"": 0.38, ""7"": 0.011, ""8"": 4400.0}","{""es"": ""7""}",{}
3801152,8480000667595,Hacendado,"[""Gran viñedo hacendado""]",,,,,,,,,"{""es"": ""3""}",{}
3801153,8480000667601,1897,"[""Cerveza sabor a tequila""]",,,,,,,,,{},"{""es"": ""3""}"
3801154,8480000667618,1897,"[""Cerveza sabor a Tequila""]",,,,,,,,,{},"{""es"": ""3""}"
3801155,8480000667625,Hacendado,"[""Cerveza sabor a tequila""]",,,,,,,,,"{""es"": ""4""}",{}
3801156,8480000667632,Steinburg,"[""radler limon""]",,,,,,,,,{},"{""es"": ""4"", ""fr"": ""10""}"
3801157,8480000667649,Steinburg,"[""Cerveza especial""]",,,,,,,g,"{""0"": 17.6, ""1"": 0.0, ""2"": 0.0, ""3"": 3.9, ""4"": 0.2, ""6"": 0.5, ""7"": 0.0, ""8"": 0.0}","{""es"": ""8""}",{}
3801158,8480000667656,"Steinburg,Hacendado","[""Especial"", ""Cerveza especial""]",330.0,ml,330.0,ml,330.0,ml,ml,"{""0"": 59.480000000000004, ""1"": 0.5, ""2"": 0.0, ""3"": 3.7, ""4"": 0.7, ""6"": 0.42, ""7"": 0.01, ""8"": 4000.0}","{""es"": ""24""}",{}
3801159,8480000667663,Steinburg,"[""Cerveza especial""]",200,ml,200.0,ml,,,,,{},"{""es"": ""5""}"
3801160,8480000667670,steinburg,"[""Cerveza Premium Lager especial""]",1980,ml,1980.0,ml,,,,,{},"{""es"": ""7"", ""en"": ""4""}"
3801161,8480000667694,Steinburg,"[""Especial"", ""Cerveza especial""]",1000,ml,1000.0,ml,,,ml,"{""0"": 59.480000000000004, ""1"": 0.5, ""2"": 0.0, ""3"": 3.7, ""4"": 0.7, ""6"": 0.42, ""7"": 0.01, ""8"": 4000.0}","{""es"": ""6""}",{}
3801162,8480000667700,Steinburg,"[""Shandy""]",,,,,,,,,"{""es"": ""3""}",{}
3801163,8480000667717,"Steinburg,Hacendado","[""Shandy sabor a limón"", ""Clara""]",330.0,ml,330.0,ml,330.0,ml,ml,"{""0"": 39.4, ""1"": 0.0, ""2"": 0.0, ""3"": 8.0, ""4"": 7.3, ""6"": 0.1, ""7"": 0.01, ""8"": 4000.0}","{""es"": ""25""}",{}
3801164,8480000667724,Steinburg,"[""Shandy Sabor a limón""]",,,,,,,g,"{""0"": 30.8, ""1"": 0.0, ""2"": 0.0, ""3"": 7.7, ""4"": 7.3, ""6"": 0.0, ""7"": 0.01, ""8"": 4000.0}","{""es"": ""3""}",{}
3801165,8480000667731,Steinburg,"[""Shandy steinburg limon""]",330,ml,330.0,ml,,,ml,"{""0"": 32.4, ""1"": 0.0, ""2"": 0.0, ""3"": 8.0, ""4"": 7.3, ""6"": 0.1, ""7"": 0.01, ""8"": 4000.0}","{""es"": ""15""}",{}
3801166,8480000667748,1897,"[""Cerveza tostada""]",,,,,,,,,{},"{""es"": ""3""}"
3801167,8480000667755,Steinburg,"[""Cerveza Tostada""]",,,,,,,,,{},"{""es"": ""12""}"
3801168,8480000667762,,"[""Cervezas""]",,,,,,,g,"{""7"": 0.0, ""8"": 0.0}","{""es"": ""8""}",{}
3801169,8480000667779,hacendado,"[""Cerveza Tostada""]",330,ml,330.0,ml,,,,,"{""es"": ""4""}",{}
3801170,8480000667793,1897,"[""Black"", ""Cerveza negra especial""]",330.0,ml,330.0,ml,330.0,ml,ml,"{""0"": 58.739999999999995, ""1"": 0.1, ""2"": 0.1, ""3"": 4.28, ""4"": 0.78, ""6"": 0.38, ""7"": 0.04, ""8"": 16000.0}","{""es"": ""19""}",{}
3801171,8480000667809,1897,"[""Black cerveza negra""]",,,,,,,,,{},"{""es"": ""4""}"
3801172,8480000667816,1897,"[""Black""]",330,ml,330.0,ml,,,,,{},"{""fr"": ""10"", ""en"": ""9""}"
3801173,8480000667823,,"[""Cerveza con tequila""]",330,ml,330.0,ml,,,,,{},"{""es"": ""5""}"
3801174,8480000667830,Steinburg,"[""Radler""]",,,,,,,g,"{""0"": 42.0, ""1"": 0.01, ""2"": 0.006, ""3"": 6.9, ""4"": 6.2, ""6"": 0.2, ""7"": 0.1, ""8"": 40000.0}","{""fr"": ""3""}",{}
3801175,8480000667854,Steinburg,"[""Suave"", ""Cerveza""]",1000,ml,1000.0,ml,,,,,"{""es"": ""7""}",{}
3801176,8480000667922,steinburg,"[""Cerveza""]",,,,,,,g,"{""0"": 13.6, ""1"": 0.0, ""2"": 0.0, ""3"": 2.8, ""4"": 0.2, ""6"": 0.6, ""7"": 0.0, ""8"": 0.0}","{""es"": ""3""}",{}
3801177,8480000667939,Steinburg,"[""Gluten free"", ""Cerveza sin gluten""]",330.0,ml,330.0,ml,330.0,ml,ml,"{""0"": 53.400000000000006, ""1"": 0.0, ""2"": 0.0, ""3"": 3.5, ""4"": 0.0, ""6"": 0.4, ""7"": 0.0, ""8"": 0.0}","{""es"": ""14""}",{}
3801178,8480000667946,Steinburg,"[""Steinburg Gluten Free""]",,,,,,,,,{},"{""es"": ""3""}"
3801179,8480000668059,Hacendado,"[""Nachos""]",,,,,,,g,"{""0"": 471.7999992370604, ""1"": 23.0, ""2"": 11.0, ""3"": 60.0, ""4"": 1.7999999523163, ""6"": 6.1999998092651, ""7"": 0.7, ""8"": 280000.0}","{""es"": ""3""}",{}
3801180,8480000668431,Casón histórico,"[""Tinto de verano"", ""Bebida a base de vino con azúcar y edulcorantes""]",2000,ml,2000.0,ml,,,ml,"{""0"": 35.2, ""1"": 0.0, ""2"": 0.0, ""3"": 1.4, ""4"": 1.0, ""6"": 0.4, ""7"": 0.03, ""8"": 12000.0}","{""es"": ""11""}",{}
3801181,8480000668455,1897,"[""Grand cru"", ""Cerveza""]",330.0,ml,330.0,ml,330.0,ml,,,"{""es"": ""17""}",{}
3801182,8480000668516,Castelo de Moinhos,"[""Vinho Verde D.O.C. Loureiro""]",750,ml,750.0,ml,,,,,"{""pt"": ""22""}",{}
3801183,8480000668608,pazo de orantes,[],,,,,,,,,{},"{""es"": ""3""}"
3801184,8480000668943,dulz.ze,"[""Fizzante dulzze sin alcochol""]",,,,,,,g,"{""0"": 37.2, ""1"": 0.0, ""2"": 0.0, ""3"": 9.3, ""4"": 9.3, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""es"": ""3""}",{}
3801185,8480000668950,1897,"[""IPA""]",1320,ml,1320.0,ml,,,,,{},"{""es"": ""3""}"
3801186,8480000668967,1897,"[""IPA"", ""Indian Pale Ale""]",330.0,ml,330.0,ml,330.0,ml,,,"{""es"": ""7""}",{}
3801187,8480000668981,1897,"[""Trigo suave""]",,,,,,,,,{},"{""es"": ""10""}"
3801188,8480000669056,Abuela Carola,"[""Bebida aromatizada a base de vino para cocinar"", ""Bebida aromatizada a base de vino""]",750,ml,750.0,ml,,,,,"{""es"": ""14""}",{}
3801189,8480000669193,Steinburg,"[""Radler 0,0"", ""Cerveza sin alcohol y limonada""]",330.0,ml,330.0,ml,330.0,ml,ml,"{""0"": 35.0, ""1"": 0.0, ""2"": 0.0, ""3"": 8.6, ""4"": 6.9, ""6"": 0.15, ""7"": 0.0, ""8"": 0.0}","{""es"": ""16""}",{}
3801190,8480000669223,Casón Histórico,"[""Sangría""]",1500.0,ml,1500.0,ml,,,ml,"{""0"": 81.0, ""1"": 0.0, ""2"": 0.0, ""3"": 8.0, ""4"": 8.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0}","{""es"": ""36""}",{}
3801191,8480000669315,Hacendado,"[""Vino para cocinar""]",,,,,,,,,{},"{""es"": ""3""}"
3801192,8480000669384,,"[""Casón Histórico Sangría"", ""Sangria de Vinho Branco""]",1500.0,ml,1500.0,ml,,,,,"{""pt"": ""10""}",{}
3801193,8480000669483,mig segle,"[""Mistral de moscatel""]",,,,,,,,,{},"{""es"": ""3""}"
3801194,8480000669513,Mig Segle,"[""Mistela de moscatel""]",750,ml,750.0,ml,,,,,"{""es"": ""20""}",{}
3801195,8480000669537,Steinburg,"[""Cerveza 0,0 Radler""]",330,ml,330.0,ml,,,ml,"{""0"": 35.0, ""1"": 0.0, ""2"": 0.0, ""3"": 8.6, ""4"": 6.9, ""6"": 0.15, ""7"": 0.0, ""8"": 0.0}","{""es"": ""11""}",{}
3801196,8480000669544,Steinburg,"[""Sabor a sur""]",,,,,,,,,{},"{""es"": ""3""}"
3801197,8480000669568,1897,"[""Doble malta""]",,,,,,,,,{},"{""es"": ""3""}"
3801198,8480000669841,Steinburg,"[""Cerveza clásica"", ""Cerveza""]",200,ml,200.0,ml,,,,,"{""es"": ""11""}",{}
3801199,8480000669858,Steinburg,"[""Especial"", ""Cerveza especial""]",200.0,ml,200.0,ml,200.0,ml,,,"{""es"": ""6""}",{}
3801200,8480000669865,,"[""Dulce Moscato""]",,,,,,,,,{},"{""es"": ""3""}"
3801201,8480000669940,Steinburg,"[""Cerveza Clásica""]",,,,,,,g,"{""2"": 0.0}","{""es"": ""3""}",{}
3801202,8480000670151,"Antiu Xixona, Hacendado","[""Crema de cacahuete"", ""Crema de cacahuetes""]",350,g,350.0,g,,,g,"{""0"": 588.8, ""1"": 47.4, ""2"": 8.4, ""3"": 12.6, ""4"": 12.2, ""5"": 7.3, ""6"": 24.3, ""7"": 1.0, ""8"": 400000.0, ""9"": 67967.6666666667, ""11"": 992.866666666667, ""12"": 3336000.0, ""13"": 3070.13333333333, ""14"": 144162.5, ""15"": 1757.4325, ""16"": 393433.333333333, ""17"": 572681.666666667, ""18"": 9466666.66666667, ""19"": 2657.8, ""20"": 0.0, ""21"": 306.0, ""22"": 136.266666666667, ""23"": 198.0, ""24"": 0.0, ""25"": 540.0, ""26"": 0.0, ""27"": 1777.0, ""29"": 5931000.0, ""30"": 2007.0, ""31"": 621.0}","{""es"": ""7""}",{}
3801203,8480000670229,1897,"[""Trigo"", ""Cerveza de trigo""]",330.0,ml,330.0,ml,330.0,ml,,,"{""es"": ""12""}",{}
3801204,8480000670601,Hacendado,"[""Apple Cider""]",200,ml,200.0,ml,,,,,"{""pt"": ""9"", ""es"": ""23""}",{}
3801205,8480000670656,Steinburg,"[""Panaché original Steinburg  33cl""]",330,ml,330.0,ml,,,ml,"{""0"": 28.2, ""1"": 0.0, ""2"": 0.0, ""3"": 6.8, ""4"": 5.6, ""6"": 0.25, ""7"": 0.02, ""8"": 8000.0}","{""es"": ""3""}",{}
3801206,8480000670946,Steinburg,"[""Cerveza steinburg solajero""]",3960,ml,3960.0,ml,,,,,{},"{""es"": ""11""}"
3801207,8480000670953,Steinburg,"[""Steinburg Salajero""]",,,,,,,g,"{""0"": 19.3, ""1"": 0.5, ""2"": 0.1, ""3"": 3.2, ""4"": 0.1, ""6"": 0.5, ""7"": 0.01, ""8"": 4000.0}","{""es"": ""5""}",{}
3801208,8480000670960,Steinburg,"[""Cerveza Solajero""]",250,ml,250.0,ml,,,ml,"{""0"": 19.3, ""1"": 0.5, ""2"": 0.1, ""3"": 3.2, ""4"": 0.1, ""6"": 0.5, ""7"": 0.01, ""8"": 4000.0}","{""es"": ""3""}",{}
3801209,8480000671066,Mar de uvas,"[""Merlot"", ""Vino tinto""]",750,ml,750.0,ml,,,,,"{""es"": ""6""}",{}
3801210,8480000671073,Mar de uvas,"[""Syrah"", ""Vino tinto""]",750,ml,750.0,ml,,,,,"{""es"": ""7""}",{}
3801211,8480000671257,Pazo de Orantes,"[""Vino blanco albariño""]",,,,,,,,,"{""es"": ""3""}",{}
3801212,8480000671400,Hacendado,"[""Crema de cacahuete"", ""Crema de cacahuete cremosa""]",475,g,475.0,g,,,g,"{""0"": 617.8, ""1"": 50.0, ""2"": 6.8, ""3"": 7.0, ""4"": 3.6, ""5"": 9.9, ""6"": 30.0, ""7"": 0.02, ""8"": 8000.0, ""9"": 57000.0, ""11"": 460.0, ""12"": 1000000.0, ""13"": 1600.0, ""14"": 171000.0, ""15"": 1400.0, ""16"": 400000.0, ""17"": 700000.0, ""18"": 3000000.0, ""19"": 3000.0, ""20"": 0.0, ""21"": 430.0, ""22"": 2400000.0, ""23"": 400.0, ""24"": 0.0, ""25"": 250.0, ""26"": 0.0, ""27"": 13000.0, ""29"": 8930000.0, ""30"": 10600.0, ""31"": 1760.0}","{""es"": ""42"", ""pt"": ""46""}",{}
3801213,8480000671462,Steinburg,"[""Cerveza Lager clásica""]",2400,ml,2400.0,ml,,,,,{},"{""es"": ""3""}"
3801214,8480000671479,Steinburg,"[""Cerveza Lager""]",,,,,,,g,"{""0"": 18.9, ""1"": 0.5, ""2"": 0.0, ""3"": 3.2, ""4"": 0.5, ""6"": 0.4, ""7"": 0.0, ""8"": 0.0}","{""es"": ""3""}",{}
3801215,8480000671486,,"[""Especial Steinburg""]",2400,ml,2400.0,ml,,,,,{},"{""es"": ""3""}"
3801216,8480000671493,Steinburg,"[""Cerveza Premiun Lager""]",,,,,,,g,"{""0"": 20.98, ""1"": 0.5, ""2"": 0.0, ""3"": 3.7, ""4"": 0.7, ""6"": 0.42}","{""es"": ""3""}",{}
3801217,8480000674043,Hacendado,"[""Crema al cacao con avellanas""]",,,,,,,g,"{""0"": 539.2, ""1"": 32.0, ""2"": 12.0, ""3"": 58.0, ""4"": 57.0, ""6"": 4.8, ""7"": 0.04, ""8"": 16000.0}","{""es"": ""9""}",{}
3801218,8480000674050,Hacendado,"[""Crema al cacao con avellanas""]",,,,,,,g,"{""0"": 555.8, ""1"": 33.0, ""2"": 12.0, ""3"": 60.0, ""4"": 59.0, ""5"": 1.4, ""6"": 4.0, ""7"": 0.05, ""8"": 20000.0}","{""es"": ""23""}",{}
3801219,8480000674166,Hacendado,"[""Crema al cacao"", ""Crema de cacao y avellanas""]",500,g,500.0,g,100.0,g,g,"{""0"": 544.4, ""1"": 33.0, ""2"": 7.3, ""3"": 56.0, ""4"": 55.0, ""5"": 2.9, ""6"": 4.4, ""7"": 0.13, ""8"": 52000.0}","{""es"": ""60""}",{}
3801220,8480000674173,Hacendado,"[""Crema Cacao"", ""Crema de Cacao y Avellanas""]",500,g,500.0,g,,,g,"{""0"": 546.0, ""1"": 33.0, ""2"": 7.1, ""3"": 57.0, ""4"": 57.0, ""5"": 1.5, ""6"": 4.5, ""7"": 0.2, ""8"": 80000.0}","{""pt"": ""107"", ""es"": ""100""}",{}
