product_index,code,brands,name_candidates,product_quantity,product_quantity_unit,package_quantity,package_quantity_unit,serving_quantity,serving_quantity_unit,nutrition_basis_unit,nutrition,image_1,image_2
2491866,4337256600330,Ja!,"[""Brie""]",,,,,,,g,"{""0"": 354.0, ""1"": 22.0, ""2"": 22.0, ""3"": 22.0, ""4"": 0.1, ""6"": 17.0, ""7"": 16.72, ""8"": 6688000.0}",{},{}
2491867,4337256600378,Wilhelm Brandenburg,"[""Erbseneintopf""]",,,,,100.0,g,g,"{""0"": 92.5, ""1"": 4.5, ""3"": 8.5, ""4"": 1.3, ""6"": 4.5, ""7"": 0.915, ""8"": 366000.0}",{},{}
2491868,4337256600507,Ja!,"[""Pistazien""]",,,,,,,g,"{""0"": 581.0, ""1"": 48.2, ""2"": 6.1, ""3"": 11.5, ""4"": 4.7, ""5"": 9.9283, ""6"": 25.3, ""7"": 1.6725, ""8"": 669000.0, ""9"": 106390.1, ""11"": 1280.45, ""12"": 3407750.0, ""13"": 4035.23, ""14"": 113098.55, ""15"": 1220.96, ""16"": 470010.0, ""17"": 1002947.2999999999, ""18"": 4.6286, ""19"": 2262.3959999999997, ""20"": 0.0, ""21"": 766.74, ""22"": 196.6, ""23"": 1277.9, ""24"": 0.0, ""25"": 3273.3900000000003, ""26"": 0.0, ""27"": 2378.86, ""29"": 49.9364, ""30"": 1346.71, ""31"": 501.33000000000004}","{""de"": ""3""}",{}
2491869,4337256601177,"Eisbär Eis, Ja!, Rewe","[""Straciatella Eis"", ""Bourbon-Vanilleeis mit 2% Zartbitterschokoladen-Stückchen und 2% Zartbitterschokoladen-Raspeln""]",510,g,510.0,g,,,g,"{""0"": 194.50000000000003, ""1"": 8.9, ""2"": 7.6, ""3"": 26.0, ""4"": 23.4, ""6"": 2.6, ""7"": 0.1, ""8"": 40000.0}","{""de"": ""6""}",{}
2491870,4337256601207,Wilhelm,"[""linseneintopf""]",,,,,,,g,"{""0"": 104.4, ""1"": 5.0, ""3"": 8.0, ""4"": 1.1, ""5"": 3.7, ""6"": 5.0, ""7"": 0.9825, ""8"": 393000.0}",{},{}
2491871,4337256601238,"Rewe,Rewe Beste Wahl","[""Vegan Soja Vanille""]",500,g,500.0,g,,,g,"{""0"": 69.2, ""1"": 2.0, ""2"": 0.3, ""3"": 9.3, ""4"": 7.6, ""5"": 0.0, ""6"": 3.5, ""7"": 0.18, ""8"": 72000.0, ""9"": 120000.0, ""26"": 0.75}","{""de"": ""3""}",{}
2491872,4337256601276,"Rewe,Rewe Beste Wahl","[""Soja Vanille"", ""Fermentiertes Sojaprodukt mit Vanillegeschmack, angereichert mit Calcium und Vitaminen""]",500,g,500.0,g,,,g,"{""0"": 69.2, ""1"": 2.0, ""2"": 0.3, ""3"": 9.3, ""4"": 7.6, ""6"": 3.5, ""7"": 0.18, ""8"": 72000.0}","{""de"": ""6""}",{}
2491873,4337256601573,"REWE Beste Wahl,Rewe,Hanina","[""Feiner Rührkuchen Schokolade""]",400.0,g,400.0,g,50.0,g,g,"{""0"": 441.2, ""1"": 23.0, ""2"": 5.8, ""3"": 52.0, ""4"": 33.0, ""5"": 2.3, ""6"": 5.4, ""7"": 0.63, ""8"": 252000.0, ""9"": 18168.429987980802, ""11"": 102.418389423077, ""12"": 5.40387620192306, ""13"": 1117.48302283654, ""14"": 22627.0560396635, ""15"": 543.8736778846151, ""16"": 79287.1694711539, ""17"": 115499.698918269, ""18"": 5.51489933894231, ""19"": 613.483473557692, ""20"": 21.3713942307692, ""21"": 66.8946814903846, ""22"": 64.1753305288462, ""23"": 42.7288161057692, ""24"": 0.16731219951923101, ""25"": 59.4951923076923, ""26"": 0.26742187500000003, ""27"": 2006.2139423076899, ""29"": 10.6254807692308, ""30"": 27.1023137019231, ""31"": 297.841045673077}","{""de"": ""3""}",{}
2491874,4337256601726,ja!,"[""Schwäbische Maultaschen traditioneller Art""]",360.0,g,360.0,g,60.0,g,g,"{""0"": 192.0, ""1"": 8.0, ""2"": 3.5, ""3"": 20.0, ""4"": 1.0, ""5"": 2.04055, ""6"": 10.0, ""7"": 1.5, ""8"": 600000.0, ""9"": 32627.965624999997, ""11"": 135.08671875, ""12"": 20.95018125, ""13"": 1348.155375, ""14"": 31501.914062499996, ""15"": 872.66371875, ""16"": 158815.328125, ""17"": 252293.609375, ""18"": 6.7357499999999995, ""19"": 1643.7459375, ""20"": 27.7121, ""21"": 302.70625, ""22"": 129.9965625, ""23"": 185.8975, ""24"": 0.3968875, ""25"": 4416.85, ""26"": 0.451284375, ""27"": 695.9562500000001, ""29"": 26.057499999999997, ""30"": 2088.95625, ""31"": 549.8625}","{""de"": ""14""}",{}
2491875,4337256601887,REWE Bio,"[""Blütenhonig (flüssig)"", ""BLÜTEN-HONIG""]",350,g,350.0,g,,,g,"{""0"": 306.5, ""1"": 0.5, ""2"": 0.1, ""3"": 75.0, ""4"": 75.0, ""5"": 0.0, ""6"": 0.5, ""7"": 0.02, ""8"": 8000.0, ""10"": 0.0, ""11"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""25"": 0.0, ""27"": 0.0, ""28"": 0.0}","{""de"": ""20""}",{}
