standard,nutrient_key,display_name,category,life_stage_group,age_min_months,age_max_months,unit,rda_value,ai_value,ul_value,source_files
DRI_US_CA,CHROMIUM,Chromium,MINERAL,CHILD,13,36,μg,,11,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,CHILD,37,96,μg,,15,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,MALE,97,156,μg,,25,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,MALE,157,216,μg,,35,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,MALE,217,360,μg,,35,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,MALE,361,600,μg,,35,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,MALE,601,840,μg,,30,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,MALE,841,9999,μg,,30,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,FEMALE,97,156,μg,,21,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,FEMALE,157,216,μg,,24,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,FEMALE,217,360,μg,,25,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,FEMALE,361,600,μg,,25,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,FEMALE,601,840,μg,,20,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,FEMALE,841,9999,μg,,20,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,PREGNANT,157,216,μg,,29,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,PREGNANT,217,360,μg,,30,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,PREGNANT,361,600,μg,,30,ND,rec_elements.csv; upper_elements.csv
DRI_US_CA,CHROMIUM,Chromium,MINERAL,BREASTFEEDING,157,216,μg,,44,ND,rec_elements.csv; upper_elements.csv
