standard,nutrient_key,display_name,category,sex,life_stage,age_min_months,age_max_months,target_value,target_min_value,target_max_value,unit,reference_type,source_life_stage_group,source,notes
DRI_US_CA,SELENIUM,Selenium,MINERAL,ANY,INFANT,7,12,20,,,μg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,ZINC,Zinc,MINERAL,ANY,INFANT,7,12,3,,,mg,RDA,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,POTASSIUM,Potassium,MINERAL,ANY,INFANT,7,12,860,,,mg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SODIUM,Sodium,MINERAL,ANY,INFANT,7,12,370,,,mg,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHLORIDE,Chloride,MINERAL,ANY,INFANT,7,12,0.57,,,g,AI,Infants 7-12 mo,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CALCIUM,Calcium,MINERAL,ANY,CHILD,12,47,700,,,mg,RDA,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHROMIUM,Chromium,MINERAL,ANY,CHILD,12,47,11,,,μg,AI,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,COPPER,Copper,MINERAL,ANY,CHILD,12,47,340,,,μg,RDA,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,ANY,CHILD,12,47,0.7,,,mg,AI,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IODINE,Iodine,MINERAL,ANY,CHILD,12,47,90,,,μg,RDA,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IRON,Iron,MINERAL,ANY,CHILD,12,47,7,,,mg,RDA,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,ANY,CHILD,12,47,80,,,mg,RDA,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MANGANESE,Manganese,MINERAL,ANY,CHILD,12,47,1.2,,,mg,AI,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,ANY,CHILD,12,47,17,,,μg,RDA,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,ANY,CHILD,12,47,460,,,mg,RDA,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SELENIUM,Selenium,MINERAL,ANY,CHILD,12,47,20,,,μg,RDA,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,ZINC,Zinc,MINERAL,ANY,CHILD,12,47,3,,,mg,RDA,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,POTASSIUM,Potassium,MINERAL,ANY,CHILD,12,47,2000,,,mg,AI,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SODIUM,Sodium,MINERAL,ANY,CHILD,12,47,800,,,mg,AI,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHLORIDE,Chloride,MINERAL,ANY,CHILD,12,47,1.5,,,g,AI,Children 1-3 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CALCIUM,Calcium,MINERAL,ANY,CHILD,48,107,1000,,,mg,RDA,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHROMIUM,Chromium,MINERAL,ANY,CHILD,48,107,15,,,μg,AI,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,COPPER,Copper,MINERAL,ANY,CHILD,48,107,440,,,μg,RDA,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,ANY,CHILD,48,107,1,,,mg,AI,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IODINE,Iodine,MINERAL,ANY,CHILD,48,107,90,,,μg,RDA,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IRON,Iron,MINERAL,ANY,CHILD,48,107,10,,,mg,RDA,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,ANY,CHILD,48,107,130,,,mg,RDA,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MANGANESE,Manganese,MINERAL,ANY,CHILD,48,107,1.5,,,mg,AI,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,ANY,CHILD,48,107,22,,,μg,RDA,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,ANY,CHILD,48,107,500,,,mg,RDA,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SELENIUM,Selenium,MINERAL,ANY,CHILD,48,107,30,,,μg,RDA,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,ZINC,Zinc,MINERAL,ANY,CHILD,48,107,5,,,mg,RDA,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,POTASSIUM,Potassium,MINERAL,ANY,CHILD,48,107,2300,,,mg,AI,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SODIUM,Sodium,MINERAL,ANY,CHILD,48,107,1000,,,mg,AI,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHLORIDE,Chloride,MINERAL,ANY,CHILD,48,107,1.9,,,g,AI,Children 4-8 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CALCIUM,Calcium,MINERAL,MALE,NORMAL,108,167,1300,,,mg,RDA,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHROMIUM,Chromium,MINERAL,MALE,NORMAL,108,167,25,,,μg,AI,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,COPPER,Copper,MINERAL,MALE,NORMAL,108,167,700,,,μg,RDA,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,MALE,NORMAL,108,167,2,,,mg,AI,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IODINE,Iodine,MINERAL,MALE,NORMAL,108,167,120,,,μg,RDA,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IRON,Iron,MINERAL,MALE,NORMAL,108,167,8,,,mg,RDA,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,MALE,NORMAL,108,167,240,,,mg,RDA,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MANGANESE,Manganese,MINERAL,MALE,NORMAL,108,167,1.9,,,mg,AI,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,MALE,NORMAL,108,167,34,,,μg,RDA,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,MALE,NORMAL,108,167,1250,,,mg,RDA,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SELENIUM,Selenium,MINERAL,MALE,NORMAL,108,167,40,,,μg,RDA,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,ZINC,Zinc,MINERAL,MALE,NORMAL,108,167,8,,,mg,RDA,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,POTASSIUM,Potassium,MINERAL,MALE,NORMAL,108,167,2500,,,mg,AI,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SODIUM,Sodium,MINERAL,MALE,NORMAL,108,167,1200,,,mg,AI,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHLORIDE,Chloride,MINERAL,MALE,NORMAL,108,167,2.3,,,g,AI,Males 9-13 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CALCIUM,Calcium,MINERAL,MALE,NORMAL,168,227,1300,,,mg,RDA,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHROMIUM,Chromium,MINERAL,MALE,NORMAL,168,227,35,,,μg,AI,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,COPPER,Copper,MINERAL,MALE,NORMAL,168,227,890,,,μg,RDA,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,MALE,NORMAL,168,227,3,,,mg,AI,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IODINE,Iodine,MINERAL,MALE,NORMAL,168,227,150,,,μg,RDA,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IRON,Iron,MINERAL,MALE,NORMAL,168,227,11,,,mg,RDA,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,MALE,NORMAL,168,227,410,,,mg,RDA,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MANGANESE,Manganese,MINERAL,MALE,NORMAL,168,227,2.2,,,mg,AI,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,MALE,NORMAL,168,227,43,,,μg,RDA,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,MALE,NORMAL,168,227,1250,,,mg,RDA,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SELENIUM,Selenium,MINERAL,MALE,NORMAL,168,227,55,,,μg,RDA,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,ZINC,Zinc,MINERAL,MALE,NORMAL,168,227,11,,,mg,RDA,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,POTASSIUM,Potassium,MINERAL,MALE,NORMAL,168,227,3000,,,mg,AI,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SODIUM,Sodium,MINERAL,MALE,NORMAL,168,227,1500,,,mg,AI,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHLORIDE,Chloride,MINERAL,MALE,NORMAL,168,227,2.3,,,g,AI,Males 14-18 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CALCIUM,Calcium,MINERAL,MALE,NORMAL,228,371,1000,,,mg,RDA,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHROMIUM,Chromium,MINERAL,MALE,NORMAL,228,371,35,,,μg,AI,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,COPPER,Copper,MINERAL,MALE,NORMAL,228,371,900,,,μg,RDA,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,MALE,NORMAL,228,371,4,,,mg,AI,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IODINE,Iodine,MINERAL,MALE,NORMAL,228,371,150,,,μg,RDA,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IRON,Iron,MINERAL,MALE,NORMAL,228,371,8,,,mg,RDA,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,MALE,NORMAL,228,371,400,,,mg,RDA,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MANGANESE,Manganese,MINERAL,MALE,NORMAL,228,371,2.3,,,mg,AI,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MOLYBDENUM,Molybdenum,MINERAL,MALE,NORMAL,228,371,45,,,μg,RDA,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,PHOSPHORUS,Phosphorus,MINERAL,MALE,NORMAL,228,371,700,,,mg,RDA,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SELENIUM,Selenium,MINERAL,MALE,NORMAL,228,371,55,,,μg,RDA,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,ZINC,Zinc,MINERAL,MALE,NORMAL,228,371,11,,,mg,RDA,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,POTASSIUM,Potassium,MINERAL,MALE,NORMAL,228,371,3400,,,mg,AI,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,SODIUM,Sodium,MINERAL,MALE,NORMAL,228,371,1500,,,mg,AI,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHLORIDE,Chloride,MINERAL,MALE,NORMAL,228,371,2.3,,,g,AI,Males 19-30 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CALCIUM,Calcium,MINERAL,MALE,NORMAL,372,611,1000,,,mg,RDA,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,CHROMIUM,Chromium,MINERAL,MALE,NORMAL,372,611,35,,,μg,AI,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,COPPER,Copper,MINERAL,MALE,NORMAL,372,611,900,,,μg,RDA,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,FLUORIDE,Fluoride,MINERAL,MALE,NORMAL,372,611,4,,,mg,AI,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IODINE,Iodine,MINERAL,MALE,NORMAL,372,611,150,,,μg,RDA,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,IRON,Iron,MINERAL,MALE,NORMAL,372,611,8,,,mg,RDA,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MAGNESIUM,Magnesium,MINERAL,MALE,NORMAL,372,611,420,,,mg,RDA,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
DRI_US_CA,MANGANESE,Manganese,MINERAL,MALE,NORMAL,372,611,2.3,,,mg,AI,Males 31-50 y,https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly,
